set,line,n,lambda,original_model_top1_regret,original_model_top5_regret,ensemble_mean_top1_regret,ensemble_mean_plus_penalty_top1_regret,ensemble_mean_top5_regret,ensemble_member_top1_agreement,random_expected_regret,penalty_beats_mean,mean_beats_original,original_beats_random
1m,A,256,0.0,0.7085578808417683,0.3332107837383559,0.7085578808417692,0.7085578808417692,0.32959222243382413,0.62,0.5335057505334797,False,False,False
1m,B,256,0.0,0.4140189060798054,0.2682448093707741,0.4140189060798063,0.4140189060798063,0.2821010607939504,0.29,0.5335057505334797,False,False,True
1m,C,256,0.0,0.0,0.06349215690906203,0.0,0.0,0.06349215690906237,0.08333333333333333,0.5335057505334797,False,False,True
60m,A,256,0.0,0.617886084776659,0.29899783134460484,0.617886084776659,0.617886084776659,0.2596177596312306,0.62,0.38028355508756206,False,False,False
60m,B,256,0.0,0.2878156900405884,0.18613541859846894,0.2878156900405888,0.2878156900405888,0.20117570620316744,0.29,0.38028355508756206,False,False,True
60m,C,256,0.0,0.007963822438167067,0.05027532027317969,0.007963822438167067,0.007963822438167067,0.05027532027317942,0.08333333333333333,0.38028355508756206,False,False,True
1B,A,64,0.0,0.11560340569230743,0.11974296358461514,0.11560340569230787,0.11560340569230787,0.1197429635846154,0.64,0.11426107478004877,False,False,False
1B,B,64,0.0,0.33293076746153805,0.13350691896923053,0.33293076746153805,0.33293076746153805,0.13350691896923078,0.93,0.11426107478004877,False,False,False
1B,C,64,0.0,0.06956565961538486,0.030470936261538562,0.06956565961538486,0.06956565961538486,0.030470936261538562,0.3016666666666667,0.11426107478004877,False,False,True
