C_flops,ell,a,N_num_B,D_num_B,L_num,N_analytic_B,D_analytic_B,L_analytic,rel_diff_L,rel_diff_N,N_support_B,D_support_B,L_support,support_optimum_at_boundary,support_optimum_feasible,N_near_search_boundary,train_cost_flops,attention_cost_flops,quality_cost_flops,total_cost_flops,cost_constraint_residual,train_share,attention_share,quality_share,unused_share,extrapolation,N_in_support,D_in_support,budget
1e+18,2048,6.4096,0.07824856963104905,1.9938508367830776,3.704453267149286,0.07824856744286388,1.9938508925401988,3.704453267149286,0.0,2.7964539751104747e-08,0.078383302204588,1.9904236189071147,3.704453529646348,False,True,False,9.360958562156765e+17,6.390414378432352e+16,0.0,1e+18,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,1e+18
2.238721138568347e+18,2048,6.4096,0.11259242511641795,3.10212932304195,3.4875244930632503,0.11259241803187002,3.1021295182343467,3.4875244930632503,0.0,6.292206933867673e-08,0.11265823443198908,3.100317213979601,3.4875245198268034,False,True,False,2.0956575810362708e+18,1.4306355753207608e+17,0.0,2.238721138568347e+18,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,2.238721138568347e+18
5.011872336272715e+18,2048,6.4096,0.1620100359688813,4.826442693101664,3.295838787608913,0.16201002794741184,4.826442932069357,3.295838787608913,0.0,4.951217873678494e-08,0.16192068244593705,4.829106093795156,3.2958388086821486,False,True,False,4.691592925866871e+18,3.20279410405845e+17,0.0,5.011872336272715e+18,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,5.011872336272715e+18
1.1220184543019653e+19,2048,6.4096,0.23311736320572649,7.509213465312761,3.126458723436537,0.23311737694532694,7.509213022730599,3.126458723436537,0.0,5.893855120283659e-08,0.23272428807310797,7.521896649793322,3.1264588977285843,False,True,False,1.050316825669588e+19,7.17016286323772e+17,0.0,1.1220184543019653e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,1.1220184543019653e+19
2.511886431509572e+19,2048,6.4096,0.335434214955693,11.683197355260264,2.9767886889859394,0.3354342451660419,11.683196303031774,2.9767886889859394,0.0,9.006340103923242e-08,0.3362262817900172,11.65567460155196,2.976788989732852,False,True,False,2.3513664798204932e+19,1.6051995168907901e+18,0.0,2.511886431509572e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,2.511886431509572e+19
5.6234132519034905e+19,2048,6.4096,0.4826587315231935,18.177280340095475,2.844535112852882,0.48265871169484353,18.177281086845646,2.844535112852882,0.0,4.108151263305926e-08,0.48324908763385316,18.155074258804166,2.844535184249624,False,True,False,5.264053842895179e+19,3.593594090083109e+18,0.0,5.62341325190349e+19,-1.4567664927038856e-16,0.9360958562156765,0.06390414378432352,0.0,1.4567664927038856e-16,False,True,True,5.6234132519034905e+19
1.2589254117941713e+20,2048,6.4096,0.6945010440686318,28.28109166357325,2.727671316674927,0.6945010395692005,28.281091846796627,2.727671316674927,0.0,6.478653041038279e-09,0.6945610541081901,28.278648178699676,2.727671316990169,False,True,False,1.178474861265138e+20,8.045055052903342e+18,0.0,1.2589254117941715e+20,1.3014273797722585e-16,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,1.2589254117941713e+20
2.818382931264449e+20,2048,6.4096,0.9993224660701869,44.001088616914046,2.624406457935815,0.9993224659076452,44.00108862407091,2.624406457935815,0.0,1.6265196007917816e-10,0.9982741203836377,44.047296717988814,2.624406499036648,False,True,False,2.6382765831856426e+20,1.8010634807880657e+19,0.0,2.8183829312644494e+20,1.162652513840582e-16,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,2.818382931264449e+20
6.309573444801943e+20,2048,6.4096,1.437932215466322,68.45901696708438,2.533158086762155,1.4379321757202856,68.45901885936736,2.533158086762156,3.506209992742227e-16,2.764110653699871e-08,1.4347928285545568,68.6088081687001,2.5331582442440457,False,True,False,5.906365556167571e+20,4.032078886343729e+19,0.0,6.309573444801945e+20,2.0773512052226271e-16,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,6.309573444801943e+20
1.4125375446227498e+21,2048,6.4096,2.069050720061212,106.51185182411442,2.452527896167684,2.069050794423702,106.51184799603703,2.452527896167684,0.0,3.594038898804621e-08,2.0729037861846824,106.31387003125612,2.4525279969914227,False,True,False,1.322270542270422e+21,9.026700235232749e+19,0.0,1.4125375446227498e+21,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,1.4125375446227498e+21
