C_flops,ell,a,N_num_B,D_num_B,L_num,N_analytic_B,D_analytic_B,L_analytic,rel_diff_L,rel_diff_N,N_support_B,D_support_B,L_support,support_optimum_at_boundary,N_near_search_boundary,train_cost_flops,attention_cost_flops,quality_cost_flops,total_cost_flops,cost_constraint_residual,train_share,attention_share,quality_share,unused_share,extrapolation,N_in_support,D_in_support,budget
1e+19,2048,6.4096,0.22130871323443024,7.049698755903923,3.149392044439214,0.22130872721429995,7.049698310580905,3.149392044439214,0.0,6.316908457372827e-08,0.22097140854191055,7.060459860640989,3.149392189360615,False,False,9.360958562156765e+18,6.390414378432352e+17,0.0,1.0000000000000002e+19,2.048e-16,0.9360958562156765,0.06390414378432352,0.0,0.0,False,True,True,1e+19
1e+19,4096,6.8192,0.21520456020287504,6.814203545521748,3.1619000513106394,0.2152045581969902,6.814203609035772,3.1619000513106394,0.0,9.320828814766575e-09,0.2153194544672049,6.810567492730818,3.1619000692239307,False,False,8.798686062881278e+18,1.2013139371187238e+18,0.0,1.0000000000000002e+19,2.048e-16,0.8798686062881276,0.12013139371187236,0.0,0.0,False,True,True,1e+19
1e+19,8192,7.6384,0.20445862132940681,6.403127868901339,3.1851177525294734,0.20445862465713338,6.403127764685346,3.1851177525294734,0.0,1.6275794538415805e-08,0.2044455416924401,6.403537516317875,3.185117752791471,False,False,7.855048177628823e+18,2.1449518223711775e+18,0.0,1e+19,0.0,0.7855048177628823,0.21449518223711775,0.0,0.0,False,True,True,1e+19
1e+19,32768,12.5536,0.16337378823423593,4.875838745979494,3.29169650527173,0.16337378017993198,4.875838986357645,3.29169650527173,0.0,4.929985666698759e-08,0.16360759131536223,4.868870938968096,3.291696646499359,False,False,4.779505480499619e+18,5.220494519500383e+18,0.0,1.0000000000000002e+19,2.048e-16,0.4779505480499618,0.5220494519500383,0.0,0.0,False,True,True,1e+19
1e+19,131072,32.2144,0.10675361911283691,2.9078188387597868,3.5176183444497653,0.10675361230422688,2.907819024216785,3.5176183444497653,0.0,6.377873207209096e-08,0.1069688469235369,2.9019681308146423,3.5176186681789874,False,False,1.862521108572564e+18,8.137478891427437e+18,0.0,1e+19,0.0,0.1862521108572564,0.8137478891427438,0.0,0.0,False,True,True,1e+19
1e+22,2048,6.4096,5.006855094399441,311.60473609564247,2.2936367573136804,5.006854558000731,311.60476947875287,2.2936367573136804,0.0,1.0713287237010057e-07,5.214099263792859,299.21942054178766,2.2936722115617787,False,False,9.360958562156764e+21,6.390414378432351e+20,0.0,1e+22,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,True,True,False,1e+22
1e+22,4096,6.8192,4.868755137744302,301.19561071750377,2.2979685458183727,4.868754778331719,301.1956329518321,2.2979685458183727,0.0,7.382022706303279e-08,4.8997344482741045,299.29125601152214,2.2979694217872435,False,False,8.798686062881277e+21,1.2013139371187238e+21,0.0,1.0000000000000002e+22,2.097152e-16,0.8798686062881276,0.12013139371187236,0.0,0.0,True,True,False,1e+22
1e+22,8192,7.6384,4.625640030959471,283.0256326711864,2.306009328996618,4.625640433040195,283.0256080693712,2.306009328996618,0.0,8.692433603591051e-08,4.62824514344805,282.8663252906551,2.306009336018781,False,False,7.855048177628822e+21,2.1449518223711774e+21,0.0,1e+22,0.0,0.7855048177628823,0.21449518223711775,0.0,0.0,False,True,True,1e+22
1e+22,32768,12.5536,3.6961433315553123,215.5176829721966,2.3429198152730573,3.69614323957328,215.51768833555866,2.3429198152730573,0.0,2.488594901527311e-08,3.7037542304330846,215.07481252523354,2.3429199164636527,False,False,4.779505480499618e+21,5.220494519500384e+21,0.0,1e+22,0.0,0.4779505480499618,0.5220494519500383,0.0,0.0,False,True,True,1e+22
1e+22,131072,32.2144,2.415177043215856,128.52895634879147,2.421161347754632,2.4151772823260096,128.5289436240202,2.421161347754632,0.0,9.900314780396576e-08,2.409048044453777,128.85595431637734,2.4211615262120922,False,False,1.862521108572564e+21,8.137478891427438e+21,0.0,1.0000000000000002e+22,2.097152e-16,0.1862521108572564,0.8137478891427438,0.0,0.0,False,True,True,1e+22
