dataset,is_extrapolation,concentration,n_draws,mean_abs_dp_per_dim,mean_l1_dp,mean_l2_dp,mean_abs_pred_shift_per_target,composite_pred_shift_mean,composite_pred_shift_p90,composite_pred_shift_max,composite_true_width,composite_shift_over_width,composite_p90_over_width,pertarget_shift_over_width
same_scale_1m,False,200.0,200,0.006453025776156623,0.10970143819466259,0.05066213731060832,0.08015273908968941,0.04564048904794027,0.12966519774458315,0.5677617428852972,1.5066299621875467,0.03029309796924037,0.08606306856948216,0.026186004145559785
same_scale_1m,False,50.0,200,0.012490434276900133,0.21233738270730224,0.10044093523002243,0.13102988314407665,0.0808161834993561,0.22028739813051573,0.8099185729103215,1.5066299621875467,0.05364036659805656,0.14621201201300293,0.042413229195034416
same_scale_1m,False,20.0,200,0.018823229188384055,0.3199948962025289,0.15549147432951965,0.18266706315619619,0.12232960747611375,0.30341201772292575,0.9953370742529302,1.5066299621875467,0.08119419535404543,0.20138456378657676,0.05873387058368039
cross_scale_60m,False,200.0,200,0.0064551976819855715,0.10973836059375472,0.05069644251653104,0.08101271821664482,0.04619626997285835,0.13210590902261135,0.5721595226801366,1.4991439580917358,0.030815099326192596,0.08812089613513122,0.029856254756496933
cross_scale_60m,False,50.0,200,0.012464224869362567,0.21189182277916366,0.10018655101649517,0.13213876829546656,0.08190750434336572,0.22308286051138715,0.732313070327808,1.4991439580917358,0.05463618347074953,0.1488068302628854,0.048355268725620966
cross_scale_60m,False,20.0,200,0.018831408818501455,0.3201339499145247,0.15540488547956768,0.18228815777300172,0.12241412541660905,0.3021694745570402,0.8881709123183956,1.4991439580917358,0.08165601759315383,0.2015613463443981,0.06638682198564518
cross_scale_1B,False,200.0,200,0.008506088117284571,0.1446034979938377,0.05987356740101164,0.06725083702051132,0.03493708328593596,0.10492950250435013,0.43734919637390846,0.3329307674615385,0.10493798320989374,0.31516913652767764,0.09833148291435713
cross_scale_1B,False,50.0,200,0.016507222092051164,0.28062277556486975,0.11840049079136243,0.11111466266634212,0.06504134547157135,0.19848291826671086,0.6281327125705216,0.3329307674615385,0.1953599721872662,0.5961687463734946,0.16232895113607032
cross_scale_1B,False,20.0,200,0.025207158068945593,0.42852168717207506,0.18529386239220005,0.16164378375922883,0.10661963075845908,0.264921475299804,0.6690987167088398,0.3329307674615385,0.3202456521858594,0.7957254215935713,0.2397771986667223
est_10b,True,200.0,200,0.006257139006743991,0.10637136311464784,0.049728829851119344,0.11223319258842417,0.060871599743798174,0.15706455971017805,0.5157145443176612,0.38872307692307695,0.15659373820979464,0.4040525737587198,0.10169657877323329
est_10b,True,50.0,200,0.01202770814070316,0.2044710383919537,0.09799851798433258,0.18114098400146988,0.10922161081752271,0.2811094413421091,0.7921235965154105,0.38872307692307695,0.28097537116155363,0.7231611860227605,0.16235356867802617
est_10b,True,20.0,200,0.01830766257027555,0.3112302636946844,0.1529713924124078,0.2394248038741205,0.15747906194128447,0.37187915429791335,0.8661919792493178,0.38872307692307695,0.4051188912883797,0.9566685807323532,0.21293021290711203
est_70b,True,200.0,200,0.006246269426087433,0.10618658024348637,0.04969628437267028,0.11125671150776259,0.06149787997950818,0.15825836900564164,0.573514593623643,0.42640769230769204,0.14422319552136936,0.37114332564958463,0.11838641418104474
est_70b,True,50.0,200,0.012003221395409037,0.20405476372195364,0.09753623168430403,0.18089568738627193,0.1089111421858095,0.2830340478114608,0.8413492731558971,0.42640769230769204,0.2554155193504815,0.6637639351196927,0.19094439655716253
est_70b,True,20.0,200,0.018245680058734795,0.3101765609984915,0.15239266655224262,0.24012044486337078,0.157579863761026,0.37003164576592656,0.8691475238097013,0.42640769230769204,0.3695521131624374,0.8677883922856509,0.2520240632911898
