lambda,Q_resolved_mean,Q_resolved_std,spearman_vs_Q_equal,spearman_vs_min_group
0.0,0.5575232123960031,0.06851515732184334,1.0,0.6524683104900602
0.05,0.5447291332038051,0.06872017113353521,0.9985777297438542,0.6888847112876918
0.1,0.5319350540116073,0.06912355841029945,0.994258026785672,0.7242726932646616
0.15,0.5191409748194094,0.06972187607111614,0.9869886631706476,0.7584309785024262
0.2,0.5063468956272116,0.07051016201473635,0.9767755812787793,0.7910879426450376
0.25,0.49355281643501364,0.07148213175827192,0.9637134455129159,0.8219083983088066
0.3,0.4807587372428157,0.07263041128180273,0.9480148307397411,0.8505235054971813
0.4,0.45517057885842005,0.07542245961356882,0.9101299160017683,0.8998806794537698
0.5,0.4295824204740243,0.07881494313221432,0.866544928615569,0.9378019811102946
