kind,label,params,cv_mean_target_rmse,cv_composite_rmse,cv_composite_r2,cv_seconds,cv_rmse_arxiv,cv_rmse_freelaw,cv_rmse_pubmed_central,cv_rmse_wikipedia_en,cv_rmse_dm_mathematics,cv_rmse_github,cv_rmse_stackexchange,cv_rmse_gutenberg_pg_19,cv_rmse_pile_cc,cv_rmse_ubuntu_irc,cv_rmse_hackernews,cv_rmse_pubmed_abstracts,cv_rmse_uspto_backgrounds
forest,rf_n600_d12_l1_f1.0,"{'n_estimators': 600, 'max_depth': 12, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.3871620189446571,0.15538620982757276,0.763829478885088,2.9060506999958307,0.4200012465328261,0.46048094382749527,0.40823059057517685,0.4433835952635742,0.3725279951542687,0.4265468135891455,0.3386755463605217,0.36283150245104423,0.23850781317613218,0.384181506765776,0.292393492896371,0.44868799730447073,0.4366572023837402
forest,rf_n600_dNone_l1_f1.0,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.38724296614370907,0.15526745933915742,0.7642497390796756,3.030664899997646,0.42059325106249335,0.46101827049349425,0.40802439293586784,0.4429991859648286,0.3730520764352633,0.4270321392730003,0.33864947247509447,0.36266716420318856,0.23828724501764514,0.3840156177319604,0.2924022217075718,0.4483055076835572,0.43711201488425255
forest,rf_n300_dNone_l1_f1.0,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.38848897077017025,0.1559243848311886,0.7623834392743609,1.5447543999980553,0.4209031362900769,0.4616750993808873,0.4083431993296324,0.4434090869851164,0.3749933072607301,0.43035973704854236,0.34288161876778267,0.36382675779280593,0.23852748389846892,0.3854113338193844,0.2926229581367822,0.4493906702517488,0.43801223105025516
forest,rf_n300_d12_l1_f1.0,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.3886588934262755,0.1563527729956348,0.7610217943937838,1.5531564999982947,0.4205640320112808,0.4613312119171448,0.40922199620564215,0.44398223007158294,0.37442997319681454,0.42998309180120653,0.3434345178473398,0.36358395116459935,0.2389019721725337,0.38589065359110436,0.29218670086154974,0.4509077788640461,0.4381475048367368
forest,rf_n600_d8_l1_f1.0,"{'n_estimators': 600, 'max_depth': 8, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.39413602552893084,0.15654082647725182,0.7606625085341766,2.872070800003712,0.42884457434129064,0.47021094305037836,0.4158111388379721,0.4535097863332265,0.37863047280191,0.43222152704678934,0.3445043622452981,0.3696279804868438,0.2430134340704148,0.3898540833221579,0.2953601600663668,0.45662503518824504,0.44555483408520774
forest,rf_n300_d8_l1_f1.0,"{'n_estimators': 300, 'max_depth': 8, 'min_samples_leaf': 1, 'max_features': 1.0, 'n_jobs': -1}",0.39521322863863295,0.15775675305687306,0.7570929962808612,1.4709826999969664,0.4266722545733529,0.4722473377949097,0.41457956226398884,0.4548607568160832,0.38159145016388674,0.43586140034952114,0.34880121168556244,0.369184453239409,0.24270516414956847,0.391067931201554,0.29577346758867956,0.4585270540495324,0.44589992842617987
forest,rf_n600_d12_l2_f1.0,"{'n_estimators': 600, 'max_depth': 12, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.39781094909905323,0.15686844584503537,0.7599249114523016,2.782170699996641,0.4337451076301021,0.4787452079923346,0.4179672193045403,0.457624685834163,0.3819448784642488,0.43336835815992103,0.3471120911200051,0.3736280032072652,0.24569831557069666,0.3925907575784141,0.29771527381238694,0.4612508774244962,0.4501515621891186
forest,rf_n600_dNone_l2_f1.0,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.3978176526114194,0.15687280779234725,0.75991224483579,2.8555064000029233,0.43378392064679333,0.4787415286255417,0.4180141883861152,0.45762923763869096,0.3819264349346172,0.43337933499618037,0.34710250493623485,0.3736252396495085,0.2457001991179379,0.39260957951811537,0.2977139768207507,0.4612577390550648,0.4501455996229011
forest,rf_n300_d12_l2_f1.0,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.39902421884718065,0.15782984430520536,0.7570853131668545,1.4524668000012753,0.4323987224922193,0.48122384164850207,0.41717268947142694,0.4586420001540016,0.3832039190083368,0.43646802985184296,0.3504272109754713,0.37421376379655247,0.24654221011688868,0.39397442759469903,0.2975200445252303,0.4635877466951051,0.4519402386830718
forest,rf_n300_dNone_l2_f1.0,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.399037342991481,0.1578363942428848,0.7570658652017909,1.4706593000009889,0.4324970274800533,0.48123097111582636,0.4172140378110111,0.4586681186031088,0.3831905468022036,0.4364869342054402,0.35043458927034604,0.3742004701898557,0.24654412764340763,0.39397649077170416,0.29752138312548587,0.4635850472248184,0.4519357146459918
