dataset,variant,concentration,n_draws,n_perturbed_rows,mean_abs_pred_shift,max_abs_pred_shift,mean_shift_over_target_sd
est_10b,forest_none,200.0,200,12600,0.11290775745556056,2.9110139137506486,0.2018908974806171
est_10b,forest_none,50.0,200,12600,0.17980618874728058,3.3594544855753576,0.3074605235480908
est_10b,forest_none,20.0,200,12600,0.23927937317143808,3.375907986164093,0.3936892679800474
est_70b,forest_none,200.0,200,12600,0.11290775745556056,2.9110139137506486,0.2018908974806171
est_70b,forest_none,50.0,200,12600,0.17980618874728058,3.3594544855753576,0.3074605235480908
est_70b,forest_none,20.0,200,12600,0.23927937317143808,3.375907986164093,0.3936892679800474
