domain,linear_r2_train,linear_r2_holdout,y_sd_train,rmse_ridge,rmse_forest,gap_forest_minus_ridge,forest_wins
dm_mathematics,0.4213522882674329,0.42727381317451363,1.5348370133861076,1.158720460894497,0.36728781093136686,-0.7914326499631301,True
arxiv,0.5204803166588293,0.429493792559682,1.014935005050598,0.5877952234716207,0.3199692530643725,-0.2678259704072482,True
stackexchange,0.57205583195939,0.5433789966603473,0.7763272551420435,0.44775249504606196,0.2873130530470632,-0.16043944199899873,True
github,0.5727887396963178,0.557454047048203,1.0567536132431037,0.611972811252041,0.3567694042480682,-0.25520340700397276,True
freelaw,0.6268261349795425,0.5748285807322304,0.7844273888511202,0.4810788545713862,0.3985979769448637,-0.08248087762652251,True
ubuntu_irc,0.5746495110886454,0.5770589231411004,1.0286425256857006,0.6505137539938817,0.3597209437616908,-0.2907928102321909,True
pubmed_central,0.5566706329415538,0.5964498487093388,0.8530699580302967,0.5302413436057294,0.3722762436572316,-0.15796509994849778,True
gutenberg_pg_19,0.6955601217327185,0.673329779241415,0.43551709766028796,0.25708096425055793,0.3710767011435129,0.11399573689295495,False
hackernews,0.6744168733895768,0.6806553801483346,0.34267621938467396,0.19112661032084036,0.29404751376332805,0.1029209034424877,False
wikipedia_en,0.7023612707432567,0.707058897132572,0.5293939015290909,0.29562486820214184,0.43089400670755346,0.1352691385054116,False
uspto_backgrounds,0.7430506943864583,0.714509878733669,0.5313701516665548,0.27183134598263575,0.40931960878539947,0.13748826280276372,False
pile_cc,0.7685433145010073,0.7716048350506404,0.3207389206907337,0.1538964608442595,0.21967414151586973,0.06577768067161022,False
pubmed_abstracts,0.7473819105976779,0.7879307003268209,0.5852125803895892,0.26282181715292197,0.41051065057541947,0.1476888334224975,False
