logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
24.4,2.51189e+24,对数渐进型,8192,7.70046e+09,4.18429e+13,1,1.69014,0.000184033,5433.82,False,0.769642,0.210164,0.0201939
24.5,3.16228e+24,对数渐进型,8192,8.52478e+09,4.76764e+13,1,1.69013,0.000178805,5592.68,False,0.771148,0.210575,0.0182769
24.6,3.98107e+24,对数渐进型,8192,9.43932e+09,5.43019e+13,1,1.69012,0.00017383,5752.74,False,0.772516,0.210948,0.0165354
24.7,5.01187e+24,对数渐进型,8192,1.0454e+10,6.1826e+13,1,1.69011,0.000169087,5914.1,False,0.773758,0.211288,0.0149545
24.8,6.30957e+24,对数渐进型,8192,1.15798e+10,7.03697e+13,1,1.6901,0.000164556,6076.95,False,0.774885,0.211595,0.0135203
24.9,7.94328e+24,对数渐进型,8192,1.28289e+10,8.00699e+13,1,1.69009,0.000160221,6241.37,False,0.775906,0.211874,0.0122199
25,1e+25,对数渐进型,8192,1.42148e+10,9.10827e+13,1,1.69008,0.000156065,6407.61,False,0.776832,0.212127,0.0110417
19,1e+19,对数渐进型,32768,1.57593e+07,5.05469e+10,0.5,1.6926,0.000311776,3207.43,True,0.477951,0.522049,0
19.1,1.25893e+19,对数渐进型,32768,1.74859e+07,5.73512e+10,0.5,1.6925,0.000304892,3279.85,True,0.477951,0.522049,0
19.2,1.58489e+19,对数渐进型,32768,1.94018e+07,6.50714e+10,0.5,1.69241,0.000298162,3353.88,True,0.477951,0.522049,0
19.3,1.99526e+19,对数渐进型,32768,2.15275e+07,7.38309e+10,0.5,1.69232,0.000291578,3429.61,True,0.477951,0.522049,0
19.4,2.51189e+19,对数渐进型,32768,2.38861e+07,8.37696e+10,0.5,1.69223,0.000285141,3507.04,True,0.477951,0.522049,0
19.5,3.16228e+19,对数渐进型,32768,2.65032e+07,9.5046e+10,0.5,1.69214,0.000278846,3586.21,True,0.477951,0.522049,0
19.6,3.98107e+19,对数渐进型,32768,2.94069e+07,1.0784e+11,0.5,1.69206,0.000272689,3667.18,True,0.477951,0.522049,0
19.7,5.01187e+19,对数渐进型,32768,3.26289e+07,1.22357e+11,0.5,1.69198,0.000266669,3749.97,True,0.477951,0.522049,0
19.8,6.30957e+19,对数渐进型,32768,3.62038e+07,1.38828e+11,0.5,1.69191,0.000260782,3834.62,True,0.477951,0.522049,0
19.9,7.94328e+19,对数渐进型,32768,4.01705e+07,1.57516e+11,0.5,1.69184,0.000255025,3921.19,True,0.477951,0.522049,0
20,1e+20,对数渐进型,32768,4.45717e+07,1.7872e+11,0.5,1.69176,0.000249394,4009.72,True,0.477951,0.522049,0
20.1,1.25893e+20,对数渐进型,32768,4.94551e+07,2.02778e+11,0.5,1.6917,0.000243888,4100.24,True,0.477951,0.522049,0
20.2,1.58489e+20,对数渐进型,32768,5.48736e+07,2.30074e+11,0.5,1.69163,0.000238504,4192.8,True,0.477951,0.522049,0
20.3,1.99526e+20,对数渐进型,32768,1.5053e+08,6.43225e+10,1,1.69156,0.00234024,427.307,False,0.291164,0.318029,0.390808
20.4,2.51189e+20,对数渐进型,32768,1.61767e+08,7.7455e+10,1,1.69148,0.00208852,478.807,False,0.299288,0.326903,0.373809
20.5,3.16228e+20,对数渐进型,32768,1.74015e+08,9.3096e+10,1,1.69141,0.0018692,534.987,False,0.307376,0.335737,0.356887
20.6,3.98107e+20,对数渐进型,32768,1.87382e+08,1.11684e+11,1,1.69135,0.0016778,596.02,False,0.315406,0.344507,0.340087
20.7,5.01187e+20,对数渐进型,32768,2.01986e+08,1.33724e+11,1,1.69128,0.00151047,662.047,False,0.323357,0.353192,0.323452
20.8,6.30957e+20,对数渐进型,32768,2.17957e+08,1.598e+11,1,1.69122,0.00136393,733.173,False,0.331207,0.361766,0.307027
20.9,7.94328e+20,对数渐进型,32768,2.35443e+08,1.90581e+11,1,1.69117,0.00123539,809.459,False,0.338935,0.370208,0.290857
21,1e+21,对数渐进型,32768,2.54606e+08,2.26835e+11,1,1.69111,0.00112243,890.923,False,0.346521,0.378494,0.274985
21.1,1.25893e+21,对数渐进型,32768,2.7563e+08,2.69438e+11,1,1.69106,0.00102298,977.534,False,0.353945,0.386602,0.259453
21.2,1.58489e+21,对数渐进型,32768,2.98716e+08,3.19391e+11,1,1.69101,0.000935266,1069.21,False,0.361187,0.394513,0.2443
21.3,1.99526e+21,对数渐进型,32768,3.24091e+08,3.77835e+11,1,1.69096,0.000857757,1165.83,False,0.368231,0.402206,0.229563
21.4,2.51189e+21,对数渐进型,32768,3.52005e+08,4.46066e+11,1,1.69092,0.000789133,1267.21,False,0.375059,0.409664,0.215278
21.5,3.16228e+21,对数渐进型,32768,3.82739e+08,5.25556e+11,1,1.69088,0.000728255,1373.14,False,0.381656,0.41687,0.201474
21.6,3.98107e+21,对数渐进型,32768,4.16604e+08,6.17972e+11,1,1.69083,0.000674147,1483.36,False,0.388011,0.423811,0.188178
21.7,5.01187e+21,对数渐进型,32768,4.53946e+08,7.2521e+11,1,1.6908,0.000625951,1597.57,False,0.394111,0.430475,0.175414
21.8,6.30957e+21,对数渐进型,32768,4.95151e+08,8.49408e+11,1,1.69076,0.000582937,1715.45,False,0.39995,0.436852,0.163198
21.9,7.94328e+21,对数渐进型,32768,5.40646e+08,9.92994e+11,1,1.69072,0.00054446,1836.68,False,0.405519,0.442935,0.151547
22,1e+22,对数渐进型,32768,5.90907e+08,1.15871e+12,1,1.69069,0.000509969,1960.9,False,0.410814,0.448719,0.140467
22.1,1.25893e+22,对数渐进型,32768,6.46462e+08,1.34966e+12,1,1.69065,0.000478981,2087.77,False,0.415834,0.454201,0.129965
22.2,1.58489e+22,对数渐进型,32768,7.07901e+08,1.56936e+12,1,1.69062,0.000451076,2216.92,False,0.420578,0.459383,0.120039
22.3,1.99526e+22,对数渐进型,32768,7.75872e+08,1.82178e+12,1,1.69059,0.000425886,2348.05,False,0.425048,0.464265,0.110687
22.4,2.51189e+22,对数渐进型,32768,8.51102e+08,2.11142e+12,1,1.69056,0.000403095,2480.81,False,0.429247,0.468853,0.1019
22.5,3.16228e+22,对数渐进型,32768,9.34395e+08,2.44337e+12,1,1.69054,0.000382421,2614.92,False,0.433182,0.47315,0.0936675
22.6,3.98107e+22,对数渐进型,32768,1.02664e+09,2.82339e+12,1,1.69051,0.00036362,2750.13,False,0.436859,0.477166,0.0859748
22.7,5.01187e+22,对数渐进型,32768,1.12883e+09,3.25803e+12,1,1.69048,0.000346475,2886.21,False,0.440285,0.480909,0.0788053
22.8,6.30957e+22,对数渐进型,32768,1.24206e+09,3.75468e+12,1,1.69046,0.000330802,3022.95,False,0.443471,0.484389,0.0721395
22.9,7.94328e+22,对数渐进型,32768,1.36755e+09,4.32171e+12,1,1.69044,0.000316437,3160.19,False,0.446427,0.487617,0.0659562
23,1e+23,对数渐进型,32768,1.50666e+09,4.96863e+12,1,1.69041,0.000303234,3297.79,False,0.449162,0.490605,0.0602333
23.1,1.25893e+23,对数渐进型,32768,1.66087e+09,5.70626e+12,1,1.69039,0.000291061,3435.7,False,0.451688,0.493364,0.0549479
23.2,1.58489e+23,对数渐进型,32768,1.83187e+09,6.54676e+12,1,1.69037,0.000279813,3573.81,False,0.454017,0.495908,0.0500756
23.3,1.99526e+23,对数渐进型,32768,2.02149e+09,7.50403e+12,1,1.69035,0.000269387,3712.14,False,0.45616,0.498248,0.0455926
23.4,2.51189e+23,对数渐进型,32768,2.23178e+09,8.59379e+12,1,1.69033,0.000259696,3850.65,False,0.458128,0.500398,0.0414748
23.5,3.16228e+23,对数渐进型,32768,2.46501e+09,9.83387e+12,1,1.69031,0.000250665,3989.38,False,0.459933,0.502369,0.0376985
23.6,3.98107e+23,对数渐进型,32768,2.72371e+09,1.12445e+13,1,1.69029,0.000242226,4128.37,False,0.461585,0.504174,0.0342405
23.7,5.01187e+23,对数渐进型,32768,3.01068e+09,1.28486e+13,1,1.69028,0.000234319,4267.68,False,0.463097,0.505825,0.0310782
23.8,6.30957e+23,对数渐进型,32768,3.32901e+09,1.46723e+13,1,1.69026,0.000226891,4407.41,False,0.464477,0.507333,0.0281902
23.9,7.94328e+23,对数渐进型,32768,3.68214e+09,1.67451e+13,1,1.69024,0.000219894,4547.65,False,0.465736,0.508708,0.0255557
24,1e+24,对数渐进型,32768,4.07391e+09,1.91005e+13,1,1.69023,0.000213288,4688.5,False,0.466884,0.509961,0.023155
24.1,1.25893e+24,对数渐进型,32768,4.50854e+09,2.17767e+13,1,1.69021,0.000207035,4830.09,False,0.467928,0.511102,0.0209697
24.2,1.58489e+24,对数渐进型,32768,4.99073e+09,2.48167e+13,1,1.6902,0.000201104,4972.56,False,0.468878,0.51214,0.0189821
24.3,1.99526e+24,对数渐进型,32768,5.52573e+09,2.82695e+13,1,1.69018,0.000195466,5115.98,False,0.469741,0.513083,0.0171758
24.4,2.51189e+24,对数渐进型,32768,6.11928e+09,3.21907e+13,1,1.69017,0.000190095,5260.54,False,0.470525,0.513939,0.0155357
24.5,3.16228e+24,对数渐进型,32768,6.77781e+09,3.66436e+13,1,1.69016,0.000184966,5406.41,False,0.471237,0.514716,0.0140475
24.6,3.98107e+24,对数渐进型,32768,7.5085e+09,4.16993e+13,1,1.69014,0.000180063,5553.61,False,0.471882,0.515421,0.0126978
24.7,5.01187e+24,对数渐进型,32768,8.31915e+09,4.74395e+13,1,1.69013,0.000175363,5702.45,False,0.472466,0.516059,0.0114747
24.8,6.30957e+24,对数渐进型,32768,9.21863e+09,5.3956e+13,1,1.69012,0.000170855,5852.93,False,0.472996,0.516638,0.0103667
