dataset,n,kappa_staged,kappa_joint,rmse_staged,rmse_joint,rmse_const,data_type
B7,450,1.07631,1.17978,0.114675,0.0695443,0.34064,n/a
B8,1704,0.02,0.02,1.18519,0.651924,0.697313,calibrated;extrapolated
