Model,BBH,bbh_macro,bbh_weighted,bbh_group,n_subtasks
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,3.02358,30.3261,29.9427,29.9427,24
DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B,10.8702,35.9227,35.6362,35.6362,24
DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32,6.21896,32.8618,32.6332,32.6332,24
Davidsv/SUONG-1,1.82724,28.1713,27.7556,27.7556,24
DavieLion/Llama-3.2-1B-SPIN-iter0,2.10083,29.3008,28.9533,28.9533,24
DavieLion/Llama-3.2-1B-SPIN-iter0,2.33067,29.3008,28.9533,28.9533,24
DavieLion/Llama-3.2-1B-SPIN-iter1,2.43377,29.4025,29.1095,29.1095,24
DavieLion/Llama-3.2-1B-SPIN-iter2,3.15734,29.8034,29.3525,29.3525,24
DavieLion/Llama-3.2-1B-SPIN-iter3,3.1395,29.7523,29.3005,29.3005,24
DavieLion/Llama-3.2-1B-SPIN-iter3,3.02851,29.7523,29.3005,29.3005,24
DavieLion/Lllma-3.2-1B,2.43812,29.6469,29.3525,29.3525,24
DebateLabKIT/Llama-3.1-Argunaut-1-8B-SFT,27.1878,48.2383,48.0299,48.0299,24
Deci/DeciLM-7B,21.2527,44.2286,43.9507,43.9507,24
Deci/DeciLM-7B-instruct,23.8871,45.8975,45.6865,45.6865,24
DeepAutoAI/Explore_Llama-3.1-8B-Inst,30.3933,51.1742,51.0502,51.0502,24
DeepAutoAI/Explore_Llama-3.2-1B-Inst,8.29227,34.8646,34.6468,34.6468,24
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v0,7.04277,33.6509,33.4317,33.4317,24
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,4.25778,31.4148,31.0363,31.0363,24
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,8.81815,31.288,30.9321,30.9321,24
DeepAutoAI/causal_gpt2,2.63334,30.2571,29.9427,29.9427,24
DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,30.5101,50.8041,50.46,50.46,24
DeepAutoAI/d2nwg_causal_gpt2,2.85057,30.269,29.9254,29.9254,24
DeepAutoAI/d2nwg_causal_gpt2_v1,2.38728,29.919,29.5608,29.5608,24
DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,31.1016,51.2117,50.8592,50.8592,24
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.0,31.1626,51.2518,50.8939,50.8939,24
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,31.1626,51.2518,50.8939,50.8939,24
DeepMount00/Lexora-Lite-3B,28.4363,48.7339,48.4291,48.4291,24
DeepMount00/Lexora-Lite-3B_v2,27.1685,48.1177,47.9951,47.9951,24
DeepMount00/Lexora-Medium-7B,32.6953,51.4484,51.1543,51.1543,24
DeepMount00/Llama-3-8b-Ita,28.0777,49.3577,49.1755,49.1755,24
DeepMount00/Llama-3.1-8b-ITA,30.9332,51.7,51.3973,51.3973,24
DeepMount00/Llama-3.1-8b-Ita,31.3336,51.7,51.3973,51.3973,24
DeepMount00/Llama-3.1-Distilled,30.8414,51.0088,50.6856,50.6856,24
DeepMount00/Qwen2-1.5B-Ita,15.423,39.8058,39.4723,39.4723,24
DeepMount00/Qwen2-1.5B-Ita_v2,15.1061,39.5383,39.2119,39.2119,24
DeepMount00/Qwen2-1.5B-Ita_v3,15.2265,39.4848,39.1252,39.1252,24
DeepMount00/Qwen2-1.5B-Ita_v5,16.487,40.3204,39.941,39.941,24
DeepMount00/Qwen2-1.5B-Ita_v6,19.0938,42.4861,42.1107,42.1107,24
DeepMount00/Qwen2.5-7B-Instruct-MathCoder,2.63667,29.9844,29.665,29.665,24
DeepMount00/mergekit-ties-okvgjfz,2.63667,29.9844,29.665,29.665,24
Delta-Vector/Baldur-8B,32.5418,53.0584,52.9248,52.9248,24
Delta-Vector/Control-8B,29.1551,50.4146,50.2864,50.2864,24
Delta-Vector/Control-8B-V1.1,28.7259,49.9284,49.7483,49.7483,24
Delta-Vector/Darkens-8B,32.8838,52.5059,52.2132,52.2132,24
Delta-Vector/Henbane-7b-attempt2,30.8658,50.6118,50.2517,50.2517,24
Delta-Vector/Odin-9B,34.8324,54.4025,54.2093,54.2093,24
Delta-Vector/Tor-8B,31.7382,52.0911,51.8486,51.8486,24
DevQuasar/DevQuasar-R1-Uncensored-Llama-8B,30.2202,51.1794,51.0849,51.0849,24
Dongwei/DeepSeek-R1-Distill-Qwen-7B-GRPO,7.8827,34.4257,34.1087,34.1087,24
DoppelReflEx/L3-8B-R1-WolfCore,33.7601,53.1795,53.029,53.029,24
DoppelReflEx/L3-8B-R1-WolfCore-V1.5-test,33.4595,53.1495,52.9596,52.9596,24
DoppelReflEx/L3-8B-WolfCore,31.2901,51.8198,51.6403,51.6403,24
DoppelReflEx/MN-12B-FoxFrame-test,34.5598,54.5638,54.3308,54.3308,24
DoppelReflEx/MN-12B-FoxFrame2-test,34.9967,54.848,54.5912,54.5912,24
DoppelReflEx/MN-12B-FoxFrame3-test,34.0412,53.9476,53.6192,53.6192,24
DoppelReflEx/MN-12B-Kakigori,34.3313,54.1553,53.8969,53.8969,24
DoppelReflEx/MN-12B-LilithFrame,27.4921,49.4426,49.1061,49.1061,24
DoppelReflEx/MN-12B-LilithFrame,27.6535,49.4426,49.1061,49.1061,24
DoppelReflEx/MN-12B-LilithFrame-Experiment-2,28.1112,49.8267,49.54,49.54,24
DoppelReflEx/MN-12B-LilithFrame-Experiment-3,34.9983,54.6808,54.4176,54.4176,24
DoppelReflEx/MN-12B-LilithFrame-Experiment-4,35.7777,55.3437,55.0252,55.0252,24
DoppelReflEx/MN-12B-Mimicore-GreenSnake,35.3906,54.8051,54.5912,54.5912,24
DoppelReflEx/MN-12B-Mimicore-Nocturne,38.3987,57.0333,56.7783,56.7783,24
DoppelReflEx/MN-12B-Mimicore-Orochi,35.2832,54.9774,54.6259,54.6259,24
DoppelReflEx/MN-12B-Mimicore-Orochi-v2-Experiment,32.7747,53.2253,52.8554,52.8554,24
DoppelReflEx/MN-12B-Mimicore-Orochi-v3-Experiment,34.5695,54.3782,54.1399,54.1399,24
DoppelReflEx/MN-12B-Mimicore-Orochi-v4-Experiment,35.2991,54.625,54.2441,54.2441,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake,36.8997,56.0461,55.6674,55.6674,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-1,27.078,48.6564,48.4465,48.4465,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-2,30.6657,51.8475,51.5709,51.5709,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-3,26.3214,48.118,47.7174,47.7174,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-4,31.4229,51.8475,51.5709,51.5709,24
DoppelReflEx/MN-12B-Unleashed-Twilight,35.9761,55.2063,54.9731,54.9731,24
DoppelReflEx/MN-12B-WolFrame,29.9919,51.1681,50.8592,50.8592,24
DoppelReflEx/MiniusLight-24B,46.003,62.5646,62.3676,62.3676,24
DoppelReflEx/MiniusLight-24B-test,46.957,63.3393,63.2008,63.2008,24
DoppelReflEx/MiniusLight-24B-v1b-test,50.6381,66.1715,65.9087,65.9087,24
DoppelReflEx/MiniusLight-24B-v1c-test,52.8407,67.5268,67.3668,67.3668,24
DoppelReflEx/MiniusLight-24B-v1d-test,52.3584,67.1203,66.9328,66.9328,24
DreadPoor/Again-8B-Model_Stock,33.2595,53.098,52.9769,52.9769,24
DreadPoor/Alita99-8B-LINEAR,35.0089,54.4177,54.2614,54.2614,24
DreadPoor/AnotherTest,25.1971,46.8341,46.5544,46.5544,24
DreadPoor/Aspire-8B-model_stock,32.5343,52.7825,52.6124,52.6124,24
DreadPoor/Aspire_1.3-8B_model-stock,32.6619,53.0164,52.8901,52.8901,24
DreadPoor/Aspire_V2-8B-Model_Stock,33.3274,53.2965,53.2026,53.2026,24
DreadPoor/Aspire_V2.1-8B-Model_Stock,32.1879,52.364,52.2479,52.2479,24
DreadPoor/Aspire_V2_ALT-8B-Model_Stock,32.4452,52.6582,52.543,52.543,24
DreadPoor/Aspire_V2_ALT_ROW-8B-Model_Stock,32.4452,52.6582,52.543,52.543,24
DreadPoor/Aspire_V3-8B-Model_Stock,32.6837,52.6796,52.6298,52.6298,24
DreadPoor/Aspire_V4-8B-Model_Stock,33.206,53.1404,53.0811,53.0811,24
DreadPoor/Aspire_V4_ALT-8B-Model_Stock,32.6354,52.6823,52.6298,52.6298,24
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,35.4412,54.6536,54.4871,54.4871,24
DreadPoor/Aurora_faustus-8B-LINEAR,36.2635,55.1554,54.9905,54.9905,24
DreadPoor/Aurora_faustus-8B-LORABLATED,34.1999,53.916,53.8275,53.8275,24
DreadPoor/Aurora_faustus-8B-LORABLATED_ALT,34.2115,53.8767,53.7754,53.7754,24
DreadPoor/Autumn_Dawn-8B-LINEAR,35.8456,54.5944,54.3829,54.3829,24
DreadPoor/BaeZel-8B-LINEAR,35.5354,54.638,54.5044,54.5044,24
DreadPoor/BaeZel-8B-Model_Stock,34.6436,54.0768,53.8969,53.8969,24
DreadPoor/BaeZel_V2-8B-Model_Stock,34.4487,53.7387,53.515,53.515,24
DreadPoor/BaeZel_V2_ALT-8B-Model_Stock,34.4487,53.7387,53.515,53.515,24
DreadPoor/BaeZel_V3-8B-Model_Stock,34.4087,53.9231,53.758,53.758,24
DreadPoor/Blunt_Edge-8B-SLERP,34.1414,53.8947,53.7407,53.7407,24
DreadPoor/BulkUp,1.66129,28.6986,28.2763,28.2763,24
DreadPoor/Cadence-8B-LINEAR,34.9144,54.3336,54.1399,54.1399,24
DreadPoor/Caelid-8B-Model_Stock,35.2371,54.5961,54.435,54.435,24
DreadPoor/Casuar-9B-Model_Stock,43.9273,61.0668,60.9443,60.9443,24
DreadPoor/Condensed_Milk-8B-Model_Stock,35.1206,54.3486,54.1573,54.1573,24
DreadPoor/CoolerCoder-8B-LINEAR,26.3654,47.615,47.457,47.457,24
DreadPoor/Damasteel-8B-LINEAR,34.1061,53.8814,53.7233,53.7233,24
DreadPoor/Dearly_Beloved-8B-TIES,16.6718,40.4983,40.2534,40.2534,24
DreadPoor/Decayed-8B-LINEAR,34.4905,54.1701,53.9663,53.9663,24
DreadPoor/Derivative-8B-Model_Stock,34.2488,53.9549,53.8275,53.8275,24
DreadPoor/Derivative_V2-8B-Model_Stock,34.4903,53.9264,53.7927,53.7927,24
DreadPoor/Derivative_V2_ALT-8B-Model_Stock,34.0934,53.6535,53.515,53.515,24
DreadPoor/Derivative_V3-8B-Model_Stock,32.4207,52.432,52.1611,52.1611,24
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,35.3102,54.5641,54.4003,54.4003,24
DreadPoor/Emu_Eggs-9B-Model_Stock,42.7837,60.5166,60.4409,60.4409,24
DreadPoor/Eunoia_Vespera-8B-LINEAR,34.2161,53.9931,53.8622,53.8622,24
DreadPoor/Fu_sion_HA-8B-SLERP,34.0529,53.728,53.5671,53.5671,24
DreadPoor/HOT_STINKING_GARBAGE,27.8514,48.84,48.7589,48.7589,24
DreadPoor/H_the_eighth-8B-LINEAR,34.1542,53.8375,53.6712,53.6712,24
DreadPoor/Happy_New_Year-8B-Model_Stock,34.0001,53.6791,53.5497,53.5497,24
DreadPoor/Heart_Stolen-8B-Model_Stock,34.4448,53.9544,53.8275,53.8275,24
DreadPoor/Heart_Stolen-ALT-8B-Model_Stock,32.3544,52.6338,52.5256,52.5256,24
DreadPoor/Here_We_Go_Again-8B-SLERP,35.5315,54.6018,54.435,54.435,24
DreadPoor/Howdy-8B-LINEAR,34.2271,53.8398,53.758,53.758,24
DreadPoor/Incidental-8B-Model_Stock,35.1577,54.5207,54.3656,54.3656,24
DreadPoor/Irina-8B-model_stock,32.0883,52.3664,52.2305,52.2305,24
DreadPoor/Kindling-8B-Model_Stock,35.7788,54.9205,54.7822,54.7822,24
DreadPoor/L3.1-BaeZel-8B-Della,35.1575,54.4845,54.3308,54.3308,24
DreadPoor/Laughing_Stock-8B-Model_Stock,34.9382,54.4943,54.3135,54.3135,24
DreadPoor/Lava_Lamp-8B-SLERP,33.8027,53.6759,53.5844,53.5844,24
DreadPoor/LemonP-8B-Model_Stock,35.3715,54.3935,54.2441,54.2441,24
DreadPoor/Lydia_of_Whiterun-8B-LINEAR,33.8691,53.7953,53.5844,53.5844,24
DreadPoor/Matryoshka-8B-LINEAR,35.1109,54.4428,54.3135,54.3135,24
DreadPoor/Mercury_In_Retrograde-8b-Model-Stock,34.3849,53.9051,53.6712,53.6712,24
DreadPoor/Minthy-8B-Model_Stock,34.17,53.5295,53.3588,53.3588,24
DreadPoor/Minthy_ALT-8B-Model_Stock,34.1683,53.748,53.6365,53.6365,24
DreadPoor/Minthy_V2-8B-Model_Stock,35.8227,54.911,54.7474,54.7474,24
DreadPoor/Minus_Penus-8B-Model_Stock,33.5708,53.4378,53.1505,53.1505,24
DreadPoor/Morphing-8B-Model_Stock,34.4524,53.9694,53.7927,53.7927,24
DreadPoor/Not_Even_My_Final_Form-8B-Model_Stock,33.719,53.5085,53.3414,53.3414,24
DreadPoor/Nother_One-8B-Model_Stock,31.9211,52.0453,51.9875,51.9875,24
DreadPoor/Noxis-8B-LINEAR,34.8223,54.2096,53.9837,53.9837,24
DreadPoor/Nullsworn-12B-LINEAR,35.5124,54.8305,54.4524,54.4524,24
DreadPoor/Nwah-8B-Model_Stock,34.1131,53.8427,53.6539,53.6539,24
DreadPoor/ONeil-model_stock-8B,36.4126,55.4834,55.3723,55.3723,24
DreadPoor/Oh_Boy-8B-LINEAR,34.1433,53.7511,53.5671,53.5671,24
DreadPoor/OrangeJ-8B-Model_Stock,35.1508,54.1348,53.8795,53.8795,24
DreadPoor/Promissum_Mane-8B-LINEAR,35.2532,54.5768,54.4003,54.4003,24
DreadPoor/Promissum_Mane-8B-LINEAR-lorablated,34.6091,54.3518,54.2961,54.2961,24
DreadPoor/RPMash-8B-Model_Stock,31.1126,51.6909,51.432,51.432,24
DreadPoor/RPMash_V3-8B-Model_Stock,31.991,52.1745,52.0743,52.0743,24
DreadPoor/Rusted_Gold-8B-LINEAR,34.1209,53.8665,53.6192,53.6192,24
DreadPoor/Rusted_Platinum-8B-LINEAR,34.7857,54.2787,54.1399,54.1399,24
DreadPoor/Rusted_Platinum-8B-Model_Stock,32.3693,52.4284,52.2826,52.2826,24
DreadPoor/Sellen-8B-model_stock,31.361,52.3168,52.2305,52.2305,24
DreadPoor/Something-8B-Model_Stock,34.5399,53.9503,53.8275,53.8275,24
DreadPoor/Spring_Dusk-8B-SCE,37.7648,56.3527,56.1882,56.1882,24
DreadPoor/Summer_Dawn-8B-SCE,34.6285,53.9111,53.6886,53.6886,24
DreadPoor/Summer_Dusk-8B-TIES,33.8308,53.5966,53.4456,53.4456,24
DreadPoor/Summer_Rain-8B-SCE,40.6185,58.4595,58.3753,58.3753,24
DreadPoor/Summer_Rain-8B-TIES,40.6185,58.4595,58.3753,58.3753,24
DreadPoor/Sun-8B-Model_Stock,32.9546,52.6351,52.4215,52.4215,24
DreadPoor/Sweetened_Condensed_Milk-8B-Model_Stock,34.6709,54.0629,53.8795,53.8795,24
DreadPoor/TEST02-Ignore,37.1322,56.0164,55.9104,55.9104,24
DreadPoor/TEST03-ignore,34.3874,53.8341,53.6712,53.6712,24
DreadPoor/TEST06-ignore,35.9241,55.0906,55.0599,55.0599,24
DreadPoor/TEST07-ignore,36.8814,55.6128,55.4765,55.4765,24
DreadPoor/TEST08-ignore,35.3506,54.5352,54.3482,54.3482,24
DreadPoor/Trinas_Nectar-8B-model_stock,31.9751,52.5612,52.4562,52.4562,24
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,35.4271,54.7503,54.5565,54.5565,24
DreadPoor/VENN_1.2-8B-Model_Stock,35.1254,54.5881,54.4697,54.4697,24
DreadPoor/WIP-Acacia-8B-Model_Stock,31.1624,51.9467,51.6924,51.6924,24
DreadPoor/WIP_Damascus-8B-TIES,34.5223,54.1067,53.9663,53.9663,24
DreadPoor/Wannabe-8B-Model_Stock,34.2789,53.8964,53.6712,53.6712,24
DreadPoor/What_A_Thrill-8B-Model_Stock,32.9488,53.1145,52.9943,52.9943,24
DreadPoor/Winter-8B-SCE,32.5383,52.6173,52.4041,52.4041,24
DreadPoor/Winter_Dusk-8B-TIES,28.2278,49.5188,49.3664,49.3664,24
DreadPoor/Winter_Night-8B-Model_Stock,31.6043,51.8497,51.7098,51.7098,24
DreadPoor/Yafune-8B-Model_Stock,35.2912,54.6672,54.5391,54.5391,24
DreadPoor/Yearn_V3-8B-Model_Stock,33.4124,53.2202,53.1852,53.1852,24
DreadPoor/ZEUS-8B-V17-Abliterated_ALT,32.2576,52.3108,52.109,52.109,24
DreadPoor/Zelus-8B-Model_Stock,33.0582,53.0701,52.9596,52.9596,24
DreadPoor/Zelus_V2-8B-Model_Stock,33.6641,53.4482,53.3414,53.3414,24
DreadPoor/felix_dies-mistral-7B-model_stock,28.8908,49.0092,48.7763,48.7763,24
DreadPoor/hakuchido-8B-MODEL_STOCK,34.5756,53.9837,53.7927,53.7927,24
DreadPoor/ichor-8B-Model_Stock,29.9224,50.8422,50.7551,50.7551,24
DreadPoor/ichor_1.1-8B-Model_Stock,32.6207,52.8068,52.5777,52.5777,24
DreadPoor/inexpertus-8B-Model_Stock,32.4634,52.8019,52.6298,52.6298,24
DreadPoor/inexpertus_1.1-8B-LINEAR,36.1992,55.2464,55.0946,55.0946,24
DreadPoor/inexpertus_1.2-8B-LINEAR,36.0565,55.2344,55.0599,55.0599,24
DreadPoor/mergekit-nuslerp-nqzkedi,34.0952,53.6192,53.515,53.515,24
DreadPoor/remember_to_breathe-8b-Model-Stock,34.679,54.1165,53.949,53.949,24
DreadPoor/test,34.2875,53.7187,53.4456,53.4456,24
DreadPoor/test_ALT,33.9869,53.7043,53.4456,53.4456,24
DreadPoor/tests_pending-do_not_use_yet,34.6745,54.079,53.8275,53.8275,24
EVA-UNIT-01/EVA-Qwen2.5-14B-v0.2,43.6078,60.9024,60.8054,60.8054,24
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,59.0667,70.8801,70.5433,70.5433,24
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-34fail-3000total-bf16,28.2564,49.7991,49.6615,49.6615,24
EleutherAI/gpt-j-6b,4.91282,31.9104,31.6785,31.6785,24
EleutherAI/gpt-neo-1.3B,3.02457,30.3923,30.0816,30.0816,24
EleutherAI/gpt-neo-125m,3.43674,31.1516,30.9148,30.9148,24
EleutherAI/gpt-neo-2.7B,4.1786,31.3952,31.0536,31.0536,24
EleutherAI/gpt-neox-20b,4.92911,31.6504,31.3661,31.3661,24
EleutherAI/pythia-1.4b,3.87899,31.5043,31.1925,31.1925,24
EleutherAI/pythia-12b,4.98753,31.7965,31.6091,31.6091,24
EleutherAI/pythia-160m,2.19883,29.7044,29.3525,29.3525,24
EleutherAI/pythia-1b,2.29399,30.0409,29.6997,29.6997,24
EleutherAI/pythia-2.8b,5.07779,32.2409,32.0604,32.0604,24
EleutherAI/pythia-410m,2.71543,30.2813,29.9427,29.9427,24
EleutherAI/pythia-6.9b,5.88163,32.3229,32.0257,32.0257,24
Enno-Ai/EnnoAi-Pro-French-Llama-3-8B-v0.4,16.8759,40.7495,40.427,40.427,24
Enno-Ai/EnnoAi-Pro-Llama-3-8B,17.5075,41.5158,41.0866,41.0866,24
Enno-Ai/EnnoAi-Pro-Llama-3-8B-v0.3,16.6684,41.0058,40.7047,40.7047,24
Enno-Ai/EnnoAi-Pro-Llama-3.1-8B-v0.9,17.4983,41.6027,41.2081,41.2081,24
EnnoAi/EnnoAi-Pro-Llama-3.1-8B-v1.0,17.4983,41.6027,41.2081,41.2081,24
Epiculous/Azure_Dusk-v0.2,17.3964,41.1972,40.9304,40.9304,24
Epiculous/Crimson_Dawn-v0.2,21.6882,44.8238,44.6103,44.6103,24
Epiculous/NovaSpark,29.5269,50.6396,50.3732,50.3732,24
Epiculous/Violet_Twilight-v0.2,23.9405,46.1455,45.9122,45.9122,24
EpistemeAI/Alpaca-Llama3.1-8B,25.9352,47.5526,47.3876,47.3876,24
EpistemeAI/Athena-gemma-2-2b-it,19.4178,42.6423,42.5621,42.5621,24
EpistemeAI/Athena-gemma-2-2b-it-Philos,13.2121,37.9478,37.6671,37.6671,24
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,20.8738,43.3192,43.1696,43.1696,24
EpistemeAI/DeepPhi-3.5-mini-instruct,1.66736,28.8229,28.3805,28.3805,24
EpistemeAI/DeepThinkers-Phi4,53.7867,67.9042,67.6966,67.6966,24
EpistemeAI/FineLlama3.1-8B-Instruct,23.5066,45.5736,45.4435,45.4435,24
EpistemeAI/Fireball-12B,30.6667,51.1089,51.0154,51.0154,24
EpistemeAI/Fireball-12B-v1.13a-philosophers,30.3362,51.027,50.9807,50.9807,24
EpistemeAI/Fireball-Alpaca-Llama-3.1-8B-Philos-DPO-200,26.3778,48.384,48.2555,48.2555,24
EpistemeAI/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math-KTO-beta,26.898,48.6489,48.5332,48.5332,24
EpistemeAI/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R2,28.247,49.3203,49.1581,49.1581,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-0.001-128K-auto,26.833,48.2364,48.0472,48.0472,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,28.0252,48.9732,48.7936,48.7936,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,28.1719,49.0419,48.7589,48.7589,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds,24.4627,46.6807,46.4503,46.4503,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,24.5867,46.3443,46.1899,46.1899,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,23.5443,46.3443,46.1899,46.1899,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,25.8209,47.6052,47.5265,47.5265,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto,26.4521,48.178,47.9951,47.9951,24
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Math,28.9593,49.8295,49.6442,49.6442,24
EpistemeAI/Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO,26.3179,48.0101,47.8389,47.8389,24
EpistemeAI/Fireball-Mistral-Nemo-Base-2407-v1-DPO2,28.5678,49.6777,49.5227,49.5227,24
EpistemeAI/Fireball-R1-Llama-3.1-8B,10.2737,36.435,36.209,36.209,24
EpistemeAI/Llama-3.2-3B-Agent007-Coder,19.0258,43.0376,43.0481,43.0481,24
EpistemeAI/Mistral-Nemo-Instruct-12B-Philosophy-Math,33.8358,53.6493,53.4282,53.4282,24
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,22.8078,45.1859,44.9228,44.9228,24
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Empathy,24.4194,46.2799,46.1725,46.1725,24
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Logic,23.5765,45.6594,45.5303,45.5303,24
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent,22.8904,45.2473,44.9748,44.9748,24
EpistemeAI/Reasoning-Llama-3.1-CoT-RE1-NMT,25.5441,47.3576,47.3008,47.3008,24
EpistemeAI/Reasoning-Llama-3.1-CoT-RE1-NMT-V2-ORPO,25.8956,48.0422,47.8736,47.8736,24
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,6.57721,33.245,32.9977,32.9977,24
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,6.11115,32.6282,32.3208,32.3208,24
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1,20.7289,43.8108,43.7077,43.7077,24
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,23.0047,45.1819,44.9748,44.9748,24
EpistemeAI/ReasoningCore-3B-T1_1,23.095,45.2394,45.0095,45.0095,24
EpistemeAI2/Athene-codegemma-2-7b-it-alpaca-v1.2,18.9714,41.7542,41.347,41.347,24
EpistemeAI2/Fireball-12B-v1.2,29.776,50.1858,49.9392,49.9392,24
EpistemeAI2/Fireball-Alpaca-Llama3.1-8B-Philos,29.2592,49.7758,49.6962,49.6962,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.01-8B-Philos,28.6285,49.5611,49.4532,49.4532,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.03-8B-Philos,27.9925,49.5087,49.4011,49.4011,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.04-8B-Philos,27.9638,49.3001,49.1581,49.1581,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.06-8B-Philos-dpo,27.2072,48.8077,48.6721,48.6721,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math,26.9012,48.4702,48.3249,48.3249,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-C-R1-KTO-Reflection,27.5716,49.5531,49.3491,49.3491,24
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R1,26.7637,48.2793,48.1514,48.1514,24
EpistemeAI2/Fireball-Llama-3.1-8B-Philos-Reflection,27.7698,48.9769,48.7589,48.7589,24
EpistemeAI2/Fireball-MathMistral-Nemo-Base-2407-v2dpo,21.1455,43.2764,42.8919,42.8919,24
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,26.7438,48.0756,47.891,47.891,24
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,26.401,47.9083,47.7695,47.7695,24
EpistemeAI2/Fireball-Phi-3-medium-4k-inst-Philos,46.2089,61.7784,61.5692,61.5692,24
Eric111/CatunaMayo,33.2994,52.4364,52.2652,52.2652,24
Eric111/CatunaMayo-DPO,33.09,52.2399,52.0396,52.0396,24
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,35.5833,54.1065,53.9663,53.9663,24
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,35.5833,54.1065,53.9663,53.9663,24
Etherll/Herplete-LLM-Llama-3.1-8b,28.9526,53.4725,53.3935,53.3935,24
Etherll/Herplete-LLM-Llama-3.1-8b,33.2066,53.4725,53.3935,53.3935,24
Etherll/Herplete-LLM-Llama-3.1-8b-Ties,33.0709,53.3798,53.2894,53.2894,24
Etherll/Qwen2.5-7B-della-test,35.5469,54.4733,54.1746,54.1746,24
Etherll/Qwen2.5-Coder-7B-Instruct-Ties,28.0083,48.9514,48.6721,48.6721,24
Etherll/Replete-LLM-V3-Llama-3.1-8b,22.9025,45.4338,45.1658,45.1658,24
Etherll/SuperHermes,32.8403,52.8953,52.6298,52.6298,24
Eurdem/Defne-llama3.1-8B,32.8224,53.0918,52.9075,52.9075,24
FINGU-AI/L3-8B,28.8058,49.8559,49.7309,49.7309,24
FINGU-AI/Phi-4-RRStock,48.6822,64.4344,64.225,64.225,24
FINGU-AI/Q-Small-3B,21.3865,43.1853,42.9092,42.9092,24
