Model,BBH,bbh_macro,bbh_weighted,bbh_group,n_subtasks
Aryanne/SHBA,32.4777,52.3317,52.109,52.109,24
Aryanne/SuperHeart,31.8936,52.1538,51.9181,51.9181,24
AtAndDev/Qwen2.5-1.5B-continuous-learnt,19.5377,42.5775,42.1628,42.1628,24
AtAndDev/Qwen2.5-1.5B-continuous-learnt,19.7664,42.5775,42.1628,42.1628,24
Ateron/Glowing-Forest-12B,35.5255,54.9176,54.6954,54.6954,24
Ateron/Lotus-Magpic,32.6577,52.5351,52.2652,52.2652,24
Ateron/Way_of_MagPicaro,34.3159,54.2739,54.0184,54.0184,24
AuraIndustries/Aura-4B,22.6409,44.9041,44.6971,44.6971,24
AuraIndustries/Aura-8B,30.9813,51.3123,51.0849,51.0849,24
AuraIndustries/Aura-MoE-2x4B,20.6138,43.3851,43.2217,43.2217,24
AuraIndustries/Aura-MoE-2x4B-v2,20.8012,43.1524,42.9266,42.9266,24
Aurel9/testmerge-7b,32.7928,51.8959,51.5188,51.5188,24
Ayush-Singh/Llama1B-sft-2,1.23757,28.3428,28.0854,28.0854,24
Azure99/Blossom-V6-14B,30.3528,50.6873,50.2343,50.2343,24
Azure99/Blossom-V6-7B,29.4475,49.7367,49.54,49.54,24
Azure99/blossom-v5-32b,42.8831,59.5455,59.3126,59.3126,24
Azure99/blossom-v5-llama3-8b,18.3065,41.8491,41.5553,41.5553,24
Azure99/blossom-v5.1-34b,44.1477,61.0744,60.8054,60.8054,24
Azure99/blossom-v5.1-9b,34.2012,53.4329,53.1852,53.1852,24
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,42.1908,59.7946,59.7119,59.7119,24
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,51.3272,66.4161,66.2559,66.2559,24
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,28.9929,49.5823,49.4185,49.4185,24
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,52.0282,66.7034,66.3947,66.3947,24
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,28.9882,49.5499,49.2102,49.2102,24
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,28.8233,49.3967,49.1408,49.1408,24
