,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
dm_mathematics*ubuntu_irc,0.932027,0.501591,0.649132,0.260941,1.73622,0.694952,0.489369,0.298881,0.160051,1.1003,0.261876,0.271758,0.273232
dm_mathematics*europarl,1.565,0.943528,1.49949,0.684788,2.81648,1.3382,0.894242,0.610059,0.38517,1.67778,0.548393,0.84365,0.599783
dm_mathematics*hackernews,1.35719,0.988815,1.10587,0.629975,3.42403,1.53783,0.880749,0.533371,0.369673,1.74583,0.490517,0.620698,0.579334
dm_mathematics*pubmed_abstracts,0.427126,0.293635,0.379336,0.20856,1.13751,0.31572,0.264788,0.143656,0.101285,0.372551,0.131127,0.130011,0.158378
dm_mathematics*uspto_backgrounds,0.291939,0.211956,0.255087,0.106533,0.597073,0.293915,0.191151,0.0928168,0.0550834,0.369394,0.0942491,0.0838773,0.108427
github*philpapers,0.594447,0.371053,0.630868,0.30341,1.31578,0.414049,0.247094,0.220029,0.164429,0.731625,0.150443,0.305419,0.346383
github*stackexchange,0.0600099,0.0508598,0.0732774,0.0371241,0.134205,0.0488728,0.0298996,0.0291379,0.0159128,0.0682136,0.0219992,0.03578,0.0227692
github*enron_emails,1.63203,0.624944,1.28393,0.468806,2.11132,1.19322,0.665894,0.369845,0.268344,1.70914,0.424813,0.506167,0.447873
github*gutenberg_pg_19,0.175831,0.0915494,0.141452,0.076498,0.339329,0.135371,0.0943433,0.0565103,0.0445556,0.204401,0.0474674,0.0617974,0.0724763
github*pile_cc,0.0971449,0.0339691,0.0742081,0.024382,0.12566,0.0505542,0.0270089,0.0182878,0.0185527,0.0878363,0.0192638,0.0294619,0.026125
github*ubuntu_irc,0.330436,0.201849,0.313394,0.185995,0.827364,0.27792,0.142045,0.105456,0.0627464,0.53365,0.0923373,0.172461,0.126458
github*europarl,0.25392,0.189821,0.272256,0.174546,0.585009,0.240918,0.151296,0.114787,0.0863999,0.44559,0.0905112,0.171801,0.150829
github*hackernews,0.319287,0.319558,0.439458,0.244529,0.619648,0.210049,0.14094,0.209096,0.145677,0.284481,0.112752,0.291426,0.283852
github*pubmed_abstracts,0.134734,0.0789998,0.121132,0.0696901,0.25252,0.0911301,0.0685184,0.0543093,0.0341254,0.112737,0.040575,0.0505528,0.0368635
github*uspto_backgrounds,0.145848,0.106303,0.123249,0.0656856,0.24604,0.119355,0.0684917,0.051886,0.0321236,0.124368,0.0398967,0.039447,0.0501981
philpapers*stackexchange,0.570252,0.583305,0.54602,0.304093,1.33737,0.598536,0.441227,0.311589,0.177562,0.946701,0.243126,0.291307,0.266331
philpapers*enron_emails,0.271509,0.191066,0.281292,0.119688,0.59407,0.249098,0.164753,0.104589,0.0741268,0.440234,0.0902667,0.143123,0.0950335
