dataset,kind,variant,mode,target,n,spearman,regret,expected_regret_random_pick,rmse_uncalibrated,mae_uncalibrated,y_min,y_max,y_range,topk1_hit,topk3_hit,topk5_hit,topk10_hit,note
est_10b,extrapolation,ridge_none,none,gutenberg_pg_19,63,0.505184331797235,0.31919999999999993,0.502990476190476,3.585222792281922,3.5709864683299384,1.3043,2.2052,0.9009,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,pile_cc,63,0.153465821812596,0.09349999999999992,0.4624015873015874,3.8059243319106315,3.7951971436547183,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,ubuntu_irc,63,0.49980798771121354,0.058499999999999996,0.615215873015873,4.466478109032229,4.440948141399236,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,hackernews,63,0.19292434715821813,0.16549999999999998,0.38035873015873034,3.5825685800299945,3.5687327486965765,1.4418,2.2718,0.8299999999999998,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,pubmed_abstracts,63,0.3255568356374808,0.41480000000000006,0.6093492063492063,3.6533039490217996,3.631855586433763,1.2101,2.2223,1.0122000000000002,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,uspto_backgrounds,63,0.44352970828976657,0.0,0.5972079365079366,3.449840116412678,3.4335453351621474,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_none,none,__composite_equal_v__,63,-0.4509888632872504,0.3587230769230767,0.1994589743589743,3.582231372520336,3.5752436576951596,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,arxiv,63,0.7084773425499232,0.0,0.6502952380952383,3.409059510207525,3.3512792323094542,1.0486,2.3615,1.3129,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,freelaw,63,0.7104934715821812,0.0,0.7707428571428568,3.454211656990652,3.414838824457975,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,pubmed_central,63,0.6643625192012289,0.0,0.7131380952380946,3.4764339611756854,3.442827753789554,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,wikipedia_en,63,0.38172959231407144,0.2594000000000001,0.5561936507936507,3.886394825904569,3.8708847186239193,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,dm_mathematics,63,0.636520737327189,0.13,0.7211063492063489,2.8253788179961825,2.752367364587995,0.6258,1.9448,1.319,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,github,63,0.6117031490015361,0.12149999999999994,0.6725555555555556,3.6957997486253253,3.6547894729692154,1.1153,2.2485,1.1332,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,stackexchange,63,0.5483696761348719,0.10089999999999999,0.4341111111111111,3.6034595923227086,3.5770929000663725,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,gutenberg_pg_19,63,0.5252976190476191,0.31919999999999993,0.502990476190476,3.584644907871565,3.570507358190109,1.3043,2.2052,0.9009,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,pile_cc,63,0.10661482334869432,0.09349999999999992,0.4624015873015874,3.8068013122926505,3.795785480009452,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,ubuntu_irc,63,0.4836309523809524,0.058499999999999996,0.615215873015873,4.467062676260665,4.4416893235936135,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,hackernews,63,0.16378648233486942,0.16549999999999998,0.38035873015873034,3.5832492479570117,3.5692676337553397,1.4418,2.2718,0.8299999999999998,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,pubmed_abstracts,63,0.3269969278033794,0.41480000000000006,0.6093492063492063,3.6532430095878587,3.631824200411575,1.2101,2.2223,1.0122000000000002,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,uspto_backgrounds,63,0.4377932723202198,0.0,0.5972079365079366,3.450041957618047,3.433847199415894,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_equal,equal,__composite_equal_v__,63,-0.4819988479262673,0.3587230769230767,0.1994589743589743,3.5832630569451025,3.575917848369212,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,arxiv,63,0.8706317204301075,0.0,0.6502952380952383,3.516196751251628,3.3967531713749444,1.0486,2.3615,1.3129,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,freelaw,63,0.7560483870967742,0.0,0.7707428571428568,3.4717462835714272,3.427216707925356,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,pubmed_central,63,0.7586405529953917,0.0,0.7131380952380946,3.5051382983995847,3.4362134858096796,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,wikipedia_en,63,0.3372056741964531,0.2594000000000001,0.5561936507936507,3.86556622264903,3.8403651190975627,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,dm_mathematics,63,0.8267089093701997,0.0,0.7211063492063489,2.956362623799824,2.74662813149277,0.6258,1.9448,1.319,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,github,63,0.8125480030721967,0.19189999999999996,0.6725555555555556,3.6648395375153515,3.569436142060079,1.1153,2.2485,1.1332,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,stackexchange,63,0.6530176293868543,0.10089999999999999,0.4341111111111111,3.565117362081851,3.499458767183312,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,gutenberg_pg_19,63,0.41647465437788017,0.31919999999999993,0.502990476190476,3.579982404375183,3.55862009614477,1.3043,2.2052,0.9009,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,pile_cc,63,0.12245583717357911,0.09349999999999992,0.4624015873015874,3.8097519678639795,3.795733265234596,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,ubuntu_irc,63,0.611847158218126,0.058499999999999996,0.615215873015873,4.552285365271601,4.4781302873043645,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,hackernews,63,0.055299539170506916,0.16549999999999998,0.38035873015873034,3.614891821013128,3.5936872240729127,1.4418,2.2718,0.8299999999999998,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,pubmed_abstracts,63,0.42122695852534564,0.41480000000000006,0.6093492063492063,3.6172575114328986,3.591923667629616,1.2101,2.2223,1.0122000000000002,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,uspto_backgrounds,63,0.4622271292951093,0.0,0.5972079365079366,3.4206514306790243,3.395709625721951,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_pertarget_none,none,__composite_equal_v__,63,-0.7378072196620584,0.3587230769230767,0.1994589743589743,3.590497518263836,3.5638365916193777,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,arxiv,63,0.8509504608294931,0.07650000000000001,0.6502952380952383,3.5232914798294876,3.426961178267546,1.0486,2.3615,1.3129,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,freelaw,63,0.7701612903225806,0.0,0.7707428571428568,3.478843075075709,3.449798216420267,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,pubmed_central,63,0.746831797235023,0.0,0.7131380952380946,3.5145702206843685,3.458034307426017,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,wikipedia_en,63,0.30739505085301266,0.2594000000000001,0.5561936507936507,3.8670863596470486,3.852715689471718,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,dm_mathematics,63,0.8353494623655914,0.0,0.7211063492063489,2.9387924711851925,2.7288487853549057,0.6258,1.9448,1.319,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,github,63,0.7980510752688172,0.0,0.6725555555555556,3.663412765569928,3.5786479064697514,1.1153,2.2485,1.1332,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,stackexchange,63,0.6548657698456621,0.10089999999999999,0.4341111111111111,3.5760059441645646,3.519877086757124,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,gutenberg_pg_19,63,0.41801075268817206,0.06570000000000009,0.502990476190476,3.6048190899514334,3.5916281812612945,1.3043,2.2052,0.9009,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,pile_cc,63,0.07325268817204302,0.09349999999999992,0.4624015873015874,3.8079865858215487,3.7972379333381476,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,ubuntu_irc,63,0.6101670506912442,0.058499999999999996,0.615215873015873,4.547409757293016,4.477421787702793,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,hackernews,63,-0.021937403993855607,0.5118,0.38035873015873034,3.609073183808424,3.594771989304282,1.4418,2.2718,0.8299999999999998,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,pubmed_abstracts,63,0.3404857910906298,0.0,0.6093492063492063,3.6253670788518755,3.607532740609861,1.2101,2.2223,1.0122000000000002,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,uspto_backgrounds,63,0.40008640659570965,0.0,0.5972079365079366,3.4300493947409416,3.4161627413749573,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_none,none,__composite_equal_v__,63,-0.7192780337941628,0.3587230769230767,0.1994589743589743,3.6016105601386625,3.5768952725968206,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
