threshold_tag,quantile,tau,n_total,conflict_rate_total,conflict_rate_A1,conflict_rate_A2,conflict_rate_A3,conflict_rate_domain_arxiv,conflict_rate_domain_book,conflict_rate_domain_c4,conflict_rate_domain_commoncrawl,conflict_rate_domain_github,conflict_rate_domain_stackexchange,conflict_rate_domain_wikipedia
q80,q80,0.6766879017845924,272505,0.1249004605420084,0.19892641030646105,0.7835416309992581,0.04964368447917076,0.7815964523281597,0.543859649122807,0.3715,0.2629668049792531,0.049650997417568024,0.0165,0.211
q85,q85,0.6974942984328305,272505,0.09687895634942478,0.1481358578957642,0.6811048336472065,0.03374690800581098,0.6782282757892514,0.42105263157894735,0.286,0.19408713692946059,0.033618398892174106,0.0091,0.1473
q90,q90,0.7238409812289192,272505,0.06700060549347718,0.09642787429240679,0.5238828967642527,0.020309003101810042,0.5210115088163869,0.2982456140350877,0.1896,0.12033195020746888,0.02018226730042292,0.0035,0.0933
q95,q95,0.7582021820149538,272505,0.03453147648666997,0.047823540894007414,0.2780345831193289,0.01024775216930386,0.27753141167775314,0.1695906432748538,0.0976,0.054149377593361,0.010189378344997942,0.0012,0.0436
