param,value,sse
rho,0.5386698298528939,1.6404386036125285
rho,0.505002965487088,1.6501200999400367
rho,0.5218363976699909,1.6428877882660469
rho,0.5134196815785395,1.6459167096628204
rho,0.5176280396242652,1.6442541221563165
rho,0.5155238606014023,1.6450485498392837
rho,0.5165759501128337,1.6446420988300845
rho,0.5171019948685495,1.644445798615337
rho,0.5168389724906917,1.6445433710766453
rho,0.5167074613017627,1.6445925905822774
rho,0.5167732168962271,1.6445679447316415
rho,0.5168060946934594,1.6445556488790476
rho,0.5167896557948433,1.6445617945492654
rho,0.5167978752441513,1.6445587211500359
rho,0.5168019849688054,1.644557184873545
rho,0.5168040398311324,1.644556416841104
rho,0.5168050672622959,1.6445560328511484
rho,0.5168055809778777,1.6445558408629872
rho,0.5168058378356686,1.6445557448705028
rho,0.5168057094067731,1.6445557928666237
rho,0.5723366942186998,1.650591993067722
rho,0.5555032620357969,1.642946657715553
rho,0.5639199781272484,1.6461156746143966
rho,0.5597116200815226,1.644369204919726
rho,0.5618157991043855,1.6452017689817946
rho,0.5607637095929541,1.6447753418733966
rho,0.5602376648372384,1.6445697399493875
rho,0.5599746424593806,1.6444688394252112
rho,0.5601061536483094,1.644519131390921
rho,0.5601719092427739,1.6445443960905466
rho,0.5602047870400062,1.6445570581243694
rho,0.5601883481413901,1.6445507246336526
rho,0.5601965675906981,1.6445538907605552
rho,0.5602006773153522,1.64455547428785
rho,0.5602027321776792,1.6445562661674622
rho,0.5602017047465158,1.6445558702179934
rho,0.5602011910309339,1.6445556722505041
rho,0.5602014478887248,1.6445557712336345
rho,0.5602015763176202,1.6445558207256814
