functional,omega,scale_s,scenario,delta,h,loss_h1,loss_with_h,dLoss,N,D,Q
quality_linear,0.0,0.0042798423176393504,reference_p0,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__freelaw_down,-0.9816522163185311,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__pubmed_central_down,-0.9816522163185311,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__wikipedia_en_down,-1.402650663907897,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__github_down,-2.262605482454893,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__stackexchange_down,0.39071913127711705,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__pile_cc_down,-1.4589749233602975,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__pubmed_abstracts_down,-0.9816522163185311,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_arxiv_up__uspto_backgrounds_down,-0.9816522163185311,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__arxiv_down,1.1723991506222478,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__pubmed_central_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__wikipedia_en_down,-0.3665275332404914,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__github_down,-1.3100321785747664,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__stackexchange_down,1.6010790154595766,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__pile_cc_down,-0.428324036140665,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__pubmed_abstracts_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_freelaw_up__uspto_backgrounds_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__arxiv_down,1.1723991506222478,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__freelaw_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__pubmed_central_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__wikipedia_en_down,-0.3665275332404914,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__github_down,-1.3100321785747664,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__stackexchange_down,1.6010790154595766,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__pile_cc_down,-0.428324036140665,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
