check,n,rel_err_median,rel_err_max,abs_dev_max,verdict
D_tokens_B ?= steps * batch_tokens_M / 1000,1176,0.0013580322265624792,0.001791044776119537,,一致（偏差为 batch 规模的舍入）
"C_FLOPs_1e21 ?= 6*N*D (N,D 以十亿计)",1176,2.618664167520882e-05,0.43284232,4.994688000004022e-05,一致（最大绝对偏差 5.0e-05，源于 C 列 4 位小数舍入；故 C 不作为独立回归量）
