param,at,analytic,finite_diff,rel_err,passed
dL_dN,"N=1.0,D=100.0,Q=0.8",-0.12536483954221345,-0.12536483955370667,9.167820165461047e-11,True
dL_dD,"N=1.0,D=100.0,Q=0.8",-0.0009797271462074356,-0.0009797271463019637,9.648412656317775e-11,True
dL_dQ,"N=1.0,D=100.0,Q=0.8",-0.1312072329508287,-0.13120723293944736,8.674323860566138e-11,True
