logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
24.1,1.25893e+24,对数渐进型,131072,2.14797e+10,1.81619e+12,1,1.9664,0.0118268,84.5537,False,0.185926,0.812325,0.00174888
24.2,1.58489e+24,对数渐进型,131072,2.38283e+10,2.06144e+12,1,1.95679,0.0115591,86.5121,False,0.185958,0.812465,0.00157678
24.3,1.99526e+24,对数渐进型,131072,2.64343e+10,2.33972e+12,1,1.94751,0.011298,88.5109,False,0.185987,0.812591,0.00142156
24.4,2.51189e+24,对数渐进型,131072,2.93258e+10,2.65549e+12,1,1.93855,0.0110435,90.5513,False,0.186013,0.812705,0.00128157
24.5,3.16228e+24,对数渐进型,131072,3.2534e+10,3.01377e+12,1,1.92991,0.0107951,92.6345,False,0.186037,0.812808,0.00115534
24.6,3.98107e+24,对数渐进型,131072,3.60938e+10,3.42031e+12,1,1.92157,0.0105528,94.7617,False,0.186058,0.8129,0.00104151
24.7,5.01187e+24,对数渐进型,131072,4.00436e+10,3.88159e+12,1,1.91352,0.0103163,96.9341,False,0.186077,0.812984,0.000938878
24.8,6.30957e+24,对数渐进型,131072,4.44261e+10,4.40498e+12,1,1.90574,0.0100854,99.153,False,0.186094,0.813059,0.000846338
24.9,7.94328e+24,对数渐进型,131072,4.92888e+10,4.99885e+12,1,1.89824,0.00986003,101.42,False,0.18611,0.813127,0.000762904
25,1e+25,对数渐进型,131072,5.46843e+10,5.67268e+12,1,1.891,0.00963993,103.735,False,0.186124,0.813188,0.000687683
