C,cost,ell,c_attn_ratio,N,D,Q,L,C_FLOPs_check,N_over_D,tokens_per_param,Q_at_bound,Q_at_upper,N_in_data_support,N_analytic_fixedQ,C_train,C_attn,C_quality,C_total,share_train,share_attn,share_quality,budget_residual
1e+22,幂函数型,32768,1.09227,6.26447e+08,9.75786e+11,0.856953,1.69073,1e+22,0.000641992,1557.65,False,False,True,4.60564e+08,3.66767e+21,4.00607e+21,2.32626e+21,1e+22,0.366767,0.400607,0.232626,0
1e+22,幂函数型,131072,4.36907,4.48786e+08,5.22333e+11,1,1.69085,1e+22,0.000859194,1163.88,False,True,True,3.23853e+08,1.40649e+21,6.14507e+21,2.44844e+21,1e+22,0.140649,0.614507,0.244844,0
1e+22,对数渐进型,2048,0.0682667,8.48242e+08,1.50395e+12,1,1.69061,1e+22,0.00056401,1773.02,False,True,True,6.71373e+08,7.65427e+21,5.22532e+20,1.82319e+21,1e+22,0.765427,0.0522532,0.182319,0
1e+22,对数渐进型,4096,0.136533,8.20008e+08,1.46971e+12,1,1.69062,1e+22,0.000557939,1792.31,False,True,True,6.52855e+08,7.23104e+21,9.87278e+20,1.78169e+21,1e+22,0.723104,0.0987278,0.178169,0
1e+22,对数渐进型,8192,0.273067,7.70939e+08,1.40825e+12,1,1.69063,1e+22,0.000547445,1826.67,False,True,True,6.20255e+08,6.51405e+21,1.77877e+21,1.70718e+21,1e+22,0.651405,0.177877,0.170718,0
1e+22,对数渐进型,32768,1.09227,5.90907e+08,1.15871e+12,1,1.69069,1e+22,0.000509969,1960.9,False,True,True,4.95618e+08,4.10814e+21,4.48719e+21,1.40467e+21,1e+22,0.410814,0.448719,0.140467,0
1e+22,对数渐进型,131072,4.36907,3.63157e+08,7.74524e+11,1,1.69082,1e+22,0.000468878,2132.75,False,True,True,3.23853e+08,1.68764e+21,7.37342e+21,9.38933e+20,1e+22,0.168764,0.737342,0.0938933,-2.09715e-16
1e+24,指数型,2048,0.0682667,5.99747e+09,2.36548e+13,1,1.69019,1e+24,0.000253542,3944.12,False,True,True,5.37042e+09,8.51212e+23,5.81094e+22,9.06789e+22,1e+24,0.851212,0.0581094,0.0906789,0
1e+24,指数型,4096,0.136533,5.81345e+09,2.30009e+13,1,1.69019,1e+24,0.000252748,3956.5,False,True,True,5.22229e+09,8.02288e+23,1.09539e+23,8.81725e+22,1e+24,0.802288,0.109539,0.0881725,0
1e+24,指数型,8192,0.273067,5.49204e+09,2.18418e+13,1,1.6902,1e+24,0.000251447,3976.98,False,True,True,4.96152e+09,7.19735e+23,1.96536e+23,8.37289e+22,1e+24,0.719735,0.196536,0.0837289,-1.34218e-16
1e+24,指数型,32768,1.09227,4.29393e+09,1.73197e+13,1,1.69023,1e+24,0.000247922,4033.53,False,True,True,3.96453e+09,4.46218e+23,4.87389e+23,6.63939e+22,1e+24,0.446218,0.487389,0.0663939,0
1e+24,指数型,131072,4.36907,2.72256e+09,1.09243e+13,1,1.6903,1e+24,0.00024922,4012.51,False,True,True,2.59055e+09,1.78452e+23,7.7967e+23,4.18776e+22,1e+24,0.178452,0.77967,0.0418776,-1.34218e-16
1e+24,幂函数型,2048,0.0682667,6.12261e+09,2.2763e+13,1,1.69019,1e+24,0.000268972,3717.85,False,True,True,5.37042e+09,8.36213e+23,5.70855e+22,1.06701e+23,1e+24,0.836213,0.0570855,0.106701,0
1e+24,幂函数型,4096,0.136533,5.93175e+09,2.21546e+13,1,1.69019,1e+24,0.000267743,3734.92,False,True,True,5.22229e+09,7.88494e+23,1.07656e+23,1.0385e+23,1e+24,0.788494,0.107656,0.10385,0
1e+24,幂函数型,8192,0.273067,5.59876e+09,2.10735e+13,1,1.6902,1e+24,0.000265678,3763.95,False,True,True,4.96152e+09,7.07911e+23,1.93307e+23,9.87818e+22,1e+24,0.707911,0.193307,0.0987818,1.34218e-16
1e+24,幂函数型,32768,1.09227,4.36151e+09,1.68237e+13,1,1.69023,1e+24,0.000259248,3857.3,False,True,True,3.96453e+09,4.40259e+23,4.8088e+23,7.88609e+22,1e+24,0.440259,0.48088,0.0788609,-1.34218e-16
1e+24,幂函数型,131072,4.36907,2.75044e+09,1.07191e+13,1,1.6903,1e+24,0.000256592,3897.23,False,True,True,2.59055e+09,1.76894e+23,7.7286e+23,5.02458e+22,1e+24,0.176894,0.77286,0.0502458,0
1e+24,对数渐进型,2048,0.0682667,5.58237e+09,2.70321e+13,1,1.69019,1e+24,0.000206509,4842.41,False,True,True,5.37042e+09,9.0542e+23,6.181e+22,3.27703e+22,1e+24,0.90542,0.06181,0.0327703,0
1e+24,对数渐进型,4096,0.136533,5.42173e+09,2.61889e+13,1,1.69019,1e+24,0.000207024,4830.36,False,True,True,5.22229e+09,8.51934e+23,1.16317e+23,3.17481e+22,1e+24,0.851934,0.116317,0.0317481,0
1e+24,对数渐进型,8192,0.273067,5.13994e+09,2.47077e+13,1,1.6902,1e+24,0.00020803,4807.01,False,True,True,4.96152e+09,7.61977e+23,2.08071e+23,2.99525e+22,1e+24,0.761977,0.208071,0.0299525,0
1e+24,对数渐进型,32768,1.09227,4.07391e+09,1.91005e+13,1,1.69023,1e+24,0.000213288,4688.5,False,True,True,3.96453e+09,4.66884e+23,5.09961e+23,2.3155e+22,1e+24,0.466884,0.509961,0.023155,-2.68435e-16
1e+24,对数渐进型,131072,4.36907,2.6336e+09,1.16208e+13,1,1.69029,1e+24,0.000226628,4412.53,False,True,True,2.59055e+09,1.83628e+23,8.02284e+23,1.40876e+22,1e+24,0.183628,0.802284,0.0140876,-2.68435e-16
