set,line,n,lambda,point_top1_regret,stable_top1_regret,point_top5_regret,stable_top5_regret,random_expected_regret,stable_beats_point,point_beats_random
1m,A,256,0.0,0.7085578808417692,0.7085578808417692,0.32959222243382413,0.32959222243382413,0.5335057505334797,False,False
1m,B,256,0.0,0.4140189060798063,0.4140189060798063,0.2821010607939504,0.2821010607939504,0.5335057505334797,False,True
1m,C,256,0.0,0.0,0.0,0.06349215690906237,0.06349215690906237,0.5335057505334797,False,True
60m,A,256,0.0,0.617886084776659,0.617886084776659,0.2596177596312306,0.2596177596312306,0.38028355508756206,False,False
60m,B,256,0.0,0.2878156900405888,0.2878156900405888,0.20117570620316744,0.20117570620316744,0.38028355508756206,False,True
60m,C,256,0.0,0.007963822438167067,0.007963822438167067,0.05027532027317942,0.05027532027317942,0.38028355508756206,False,True
1B,A,64,0.0,0.11560340569230787,0.11560340569230787,0.1197429635846154,0.1197429635846154,0.11426107478004877,False,False
1B,B,64,0.0,0.33293076746153805,0.33293076746153805,0.13350691896923078,0.13350691896923078,0.11426107478004877,False,False
1B,C,64,0.0,0.06956565961538486,0.06956565961538486,0.030470936261538562,0.030470936261538562,0.11426107478004877,False,True
