param,value,sse
rho,0.5499554374490053,0.4873983410279487
rho,0.5155832226084425,0.4898669538391781
rho,0.532769330028724,0.4880173313581176
rho,0.5241762763185832,0.48878905326852823
rho,0.5284728031736536,0.48836482216860866
rho,0.5263245397461185,0.48856735706568477
rho,0.5252504080323508,0.4886758115224055
rho,0.5257874738892346,0.48862098569204565
rho,0.5255189409607928,0.4886482489804916
rho,0.5256532074250138,0.48863457992661385
rho,0.5257203406571243,0.4886277734565461
rho,0.5257539072731794,0.48862437723605046
rho,0.5257371239651518,0.4886260747617426
rho,0.5257455156191656,0.4886252258527587
rho,0.5257413197921588,0.48862565027071897
rho,0.5257434177056621,0.4886254380526032
rho,0.5257423687489104,0.4886255441593819
rho,0.5257418442705346,0.488625597214473
rho,0.5257415820313467,0.4886256237424508
rho,0.5257414509117527,0.4886256370065462
rho,0.5843276522895682,0.48989178620282386
rho,0.5671415448692867,0.488020429031608
rho,0.5757345985794274,0.4887995261441633
rho,0.571438071724357,0.48837087946726665
rho,0.5735863351518922,0.48857542201994825
rho,0.5746604668656599,0.48868502813411546
rho,0.574123401008776,0.48862961368261765
rho,0.5738548680803341,0.48860236501437443
rho,0.5739891345445551,0.48861595113779754
rho,0.5740562677766656,0.48862277285735145
rho,0.5740898343927208,0.48862619088174564
rho,0.5740730510846932,0.4886244812724931
rho,0.574081442738707,0.48862533592785584
rho,0.5740856385657138,0.4886257633674803
rho,0.5740835406522105,0.488625549638336
rho,0.5740845896089621,0.48862565650058387
rho,0.5740840651305863,0.48862560306888003
rho,0.5740843273697742,0.4886256297845765
rho,0.5740841962501803,0.48862561642670016
