key,file,n,n_converged,n_not_converged,verdict
b4_cross_family,scaling_baseline.csv,57,57,0,全部收敛，无行需剔除
b10_large_baseline,supplementary_large_baseline.csv,128,128,0,全部收敛，无行需剔除
