param,value,sse
kappa,0.38210158532238303,1.6404386036131016
kappa,0.3582202362397341,1.6421550184527531
kappa,0.33911515697361494,1.6459409941961023
kappa,0.3486676966066745,1.6437849409452412
kappa,0.3438914267901447,1.6447977323211787
kappa,0.3462795616984096,1.644274961729849
kappa,0.34508549424427715,1.6445322615794338
kappa,0.34448846051721094,1.6446639766221487
kappa,0.34478697738074404,1.6445978638896432
kappa,0.3449362358125106,1.6445649989156848
kappa,0.34501086502839384,1.6445486142907906
kappa,0.3449735504204522,1.644556802614279
kappa,0.344992207724423,1.6445527074552866
kappa,0.34498287907243763,1.644554754785448
kappa,0.3449782147464449,1.6445557786375442
kappa,0.3449758825834486,1.6445562906103708
kappa,0.3449770486649467,1.644556034620036
kappa,0.34497763170569584,1.6445559066278037
kappa,0.34497792322607035,1.6445558426324343
kappa,0.3449780689862576,1.6445558106349127
kappa,0.34497814186635123,1.6445557946362424
kappa,0.40598293440503197,1.6422018038467672
kappa,0.4250880136711511,1.646213189142608
kappa,0.41553547403809155,1.643913095575018
kappa,0.42031174385462133,1.6449889530287685
kappa,0.41792360894635644,1.6444325509368656
kappa,0.4191176764004889,1.6447061244163301
kappa,0.4185206426734227,1.6445681819393918
kappa,0.4182221258098896,1.6445000776480687
kappa,0.41837138424165615,1.644534057578147
kappa,0.4184460134575394,1.64455110170263
kappa,0.41848332806548105,1.6445596373067117
kappa,0.4184646707615102,1.6445553683761547
kappa,0.4184739994134956,1.6445575025593204
kappa,0.41846933508750295,1.6445564353971476
kappa,0.41846700292450656,1.644555901869037
kappa,0.4184658368430084,1.644555635118187
kappa,0.4184664198837575,1.6445557684924985
kappa,0.41846671140413205,1.6445558351804908
kappa,0.4184665656439448,1.6445558018363988
kappa,0.41846649276385117,1.6445557851644799
