param_a,param_b,corr,sd_a,sd_b,abs_corr
kappa,rho,-0.6788926989782973,0.02084887746546908,0.01279673882054178,0.6788926989782973
A,B,0.022347268739580404,0.0044028219069829075,0.004989271786720777,0.022347268739580404
alpha,beta,0.021559440754944963,0.003050390373338527,0.0016361081716521906,0.021559440754944963
A,alpha,-0.9832730555069034,0.0044028219069829075,0.003050390373338527,0.9832730555069034
B,beta,-0.8606257226402244,0.004989271786720777,0.0016361081716521906,0.8606257226402244
rho,alpha,-0.28376168356424386,0.01279673882054178,0.003050390373338527,0.28376168356424386
kappa,beta,0.1961294255664842,0.02084887746546908,0.0016361081716521906,0.1961294255664842
