param,value,sse
kappa,0.37531433948811566,0.4873983410279658
kappa,0.35185719327010845,0.48784406196327185
kappa,0.3330914762957026,0.48882688499385046
kappa,0.34247433478290557,0.48826722164655656
kappa,0.3377829055393041,0.4885301308752294
kappa,0.33543719091750335,0.48867429477749247
kappa,0.33661004822840374,0.4886011573605812
kappa,0.33602361957295357,0.48863746247497436
kappa,0.3363168339006787,0.4886192439852307
kappa,0.3361702267368161,0.4886283367512161
kappa,0.33624353031874743,0.48862378624797154
kappa,0.33620687852778175,0.4886260604695988
kappa,0.3362252044232646,0.48862492310128114
kappa,0.3362160414755232,0.48862549172106307
kappa,0.3362114600016525,0.48862577607923685
kappa,0.33621375073858784,0.4886256338961281
kappa,0.3362148961070555,0.4886255628075881
kappa,0.33621432342282165,0.48862559835161234
kappa,0.33621403708070474,0.488625616123806
kappa,0.3362138939096463,0.48862562500994733
kappa,0.33621382232411706,0.48862562945303745
kappa,0.39877148570612286,0.48785642929457473
kappa,0.4175372026805287,0.48889896228077856
kappa,0.40815434419332575,0.4883011399197609
kappa,0.4128457734369272,0.48858075581407495
kappa,0.41519148805872796,0.4887350155606045
kappa,0.4140186307478276,0.488656677279418
kappa,0.4134322020923774,0.4886184147522469
kappa,0.4137254164201025,0.48863747052878753
kappa,0.41357880925623997,0.4886279237735596
kappa,0.41350550567430866,0.48862316454676064
kappa,0.41354215746527434,0.48862554298105265
kappa,0.4135604833607571,0.4886267330825136
kappa,0.41355132041301573,0.48862613795809
kappa,0.41354673893914506,0.4886258404511425
kappa,0.4135444482022097,0.4886256917114924
kappa,0.413543302833742,0.4886256173451235
kappa,0.4135438755179759,0.48862565452801415
kappa,0.413543589175859,0.48862563593649444
kappa,0.41354344600480053,0.4886256266407881
kappa,0.41354337441927125,0.48862562199295684
