functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,source,trust_status,in_trust_box,in_trust_l1,N_B,D_B,Q,Q0,h,h_true,L_pred,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,aliases,Q_cand,N_in_support,D_in_support,extrapolation,regime,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.021592022958763536,72.25630332734711,0.41663254110330095,0.41663254110330095,1.0,1.0,1.6923142614993059,0.0,138396230.35649076,0.0,0.0,False,False,True,False,35185,9.360958562156765e+18,6.390414378432352e+17,0.0,1e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,0.0,72256303327.3471,reference_p0,0.41663254110330095,False,True,N_below_support,lower_bound_Q0,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,0.02285247977920751,68.27091744235928,0.4871620101591301,0.4871620101591301,1.0,1.0,1.6922661084626793,0.0,146475254.39280847,2048.0,2.048e-16,False,False,True,False,35185,9.360958562156763e+18,6.390414378432351e+17,0.0,9.999999999999998e+18,2048.0,0.9360958562156763,0.0639041437843235,0.0,2.048e-16,68270917442.359276,lp_vertex_box,0.4871620101591301,False,True,N_below_support,lower_bound_Q0,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
quality_linear,0.0,1e+19,exponential,4096,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.020995843809107347,69.84466499559211,0.41663254110330095,0.41663254110330095,1.0,1.0,1.6923383070141473,0.0,143174858.10306484,-2048.0,-2.048e-16,False,False,True,False,35185,8.798686062881278e+18,1.2013139371187238e+18,0.0,1.0000000000000002e+19,-2048.0,0.8798686062881278,0.12013139371187238,0.0,-2.048e-16,69844664995.59212,reference_p0,0.41663254110330095,False,True,N_below_support,lower_bound_Q0,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,4096,mixture,0.8047071577351047,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,0.02222149805098683,65.9922960091233,0.4871620101591301,0.4871620101591301,1.0,1.0,1.6922896939053464,0.0,151532839.5092894,2048.0,2.048e-16,False,False,True,False,35185,8.798686062881275e+18,1.2013139371187236e+18,0.0,9.999999999999998e+18,2048.0,0.8798686062881275,0.12013139371187236,0.0,2.048e-16,65992296009.12329,lp_vertex_box,0.4871620101591301,False,True,N_below_support,lower_bound_Q0,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
quality_linear,0.0,1e+19,exponential,8192,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.019945273685572334,65.63834204082536,0.41663254110330095,0.41663254110330095,1.0,1.0,1.6923829409505353,0.0,152349978.5198757,0.0,0.0,False,False,True,False,35185,7.855048177628823e+18,2.1449518223711775e+18,0.0,1e+19,0.0,0.7855048177628823,0.21449518223711775,0.0,0.0,65638342040.82537,reference_p0,0.41663254110330095,False,True,N_below_support,lower_bound_Q0,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,8192,mixture,0.8047071577351047,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,0.021109599802704427,62.0179780056156,0.4871620101591301,0.4871620101591301,1.0,1.0,1.692333473844469,0.0,161243567.1329775,0.0,0.0,False,False,True,False,35185,7.855048177628824e+18,2.1449518223711775e+18,0.0,1e+19,0.0,0.7855048177628824,0.21449518223711775,0.0,0.0,62017978005.6156,lp_vertex_box,0.4871620101591301,False,True,N_below_support,lower_bound_Q0,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
quality_linear,0.0,1e+19,exponential,32768,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.01593480182414592,49.990219868494165,0.41663254110330095,0.41663254110330095,1.0,1.0,1.6925878289987635,0.0,200039128.17959818,0.0,0.0,False,False,True,False,35185,4.779505480499618e+18,5.220494519500383e+18,0.0,1e+19,0.0,0.4779505480499618,0.5220494519500383,0.0,0.0,49990219868.49416,reference_p0,0.41663254110330095,False,True,N_below_support,lower_bound_Q0,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,32768,mixture,0.8047071577351047,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,0.016873298906258067,47.209751405191696,0.4871620101591301,0.4871620101591301,1.0,1.0,1.692534441686993,0.0,211820645.14960125,0.0,0.0,False,False,True,False,35185,4.779505480499617e+18,5.220494519500382e+18,0.0,1e+19,0.0,0.4779505480499617,0.5220494519500383,0.0,0.0,47209751405.191696,lp_vertex_box,0.4871620101591301,False,True,N_below_support,lower_bound_Q0,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
quality_linear,0.0,1e+19,exponential,131072,fixed_ref,0.8047071577351047,reference_p0,first_question_reference,in,True,True,0.010416136598831123,29.801854249581236,0.41663254110330095,0.41663254110330095,1.0,1.0,1.6930221433704056,0.0,335549590.8493853,0.0,0.0,False,False,True,False,35185,1.8625211085725637e+18,8.137478891427436e+18,0.0,1e+19,0.0,0.18625211085725638,0.8137478891427435,0.0,0.0,29801854249.581238,reference_p0,0.41663254110330095,False,True,N_below_support,lower_bound_Q0,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.07556475309333588
quality_linear,0.0,1e+19,exponential,131072,mixture,0.8047071577351047,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,0.011024189417399707,28.15809607481448,0.4871620101591301,0.4871620101591301,1.0,1.0,1.6929604461348704,0.0,355137647.56788105,0.0,0.0,False,False,True,False,35185,1.862521108572564e+18,8.137478891427437e+18,0.0,1e+19,0.0,0.1862521108572564,0.8137478891427437,0.0,0.0,28158096074.81448,lp_vertex_box,0.4871620101591301,False,True,N_below_support,lower_bound_Q0,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
