event,cost_form,ell,kappa,from,to,C_before,C_after,log10_C_mid,share_quality_before,share_quality_after,note,functional,omega
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.5848931924611108e+20,1.995262314968883e+20,20.25,0.0,0.012755862518542339,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,6.309573444801943e+22,7.94328234724279e+22,22.85,0.19451294405329939,0.19258589853431773,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,lower_bound_Q0,interior,1.5848931924611108e+20,1.995262314968883e+20,20.25,0.0,0.012755862518542339,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,32768,0.8047071577351047,interior,upper_bound,6.309573444801943e+22,7.94328234724279e+22,22.85,0.19451294405329939,0.19258589853431773,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,5.011872336272715e+19,6.309573444801943e+19,19.75,0.0,0.011555322000818652,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,1.995262314968883e+22,2.511886431509572e+22,22.35,0.1944935521294277,0.19292922325886488,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,lower_bound_Q0,interior,5.011872336272715e+19,6.309573444801943e+19,19.75,0.0,0.011555322000818652,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,131072,0.8047071577351047,interior,upper_bound,1.995262314968883e+22,2.511886431509572e+22,22.35,0.1944935521294277,0.19292922325886488,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,exponential,2048,0.8047071577351047,lower_bound_Q0,interior,7.94328234724279e+19,1e+20,19.95,0.0,0.017619966251709553,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
Q_regime_change,exponential,2048,0.8047071577351047,interior,upper_bound,3.162277660168379e+23,3.9810717055349855e+23,23.55,0.1313527774765779,0.12809476187280702,预定义事件 1（Q* 离开/进入边界）,mixture_l1,1.0
