tau_quantile,tau,conflict_rate_A1,conflict_rate_all_sets,by_domain_A1
0.8,0.8183704010134812,0.2,0.24053377048175698,"{'arxiv': 0.9281183932346723, 'book': 0.6491228070175439, 'c4': 0.3318, 'commoncrawl': 0.07977178423236514, 'github': 0.1971, 'stackexchange': 0.04, 'wikipedia': 0.236}"
0.85,0.868021206771852,0.1500097599063049,0.19005231992523536,"{'arxiv': 0.9105003523608175, 'book': 0.5321637426900585, 'c4': 0.2584, 'commoncrawl': 0.04232365145228216, 'github': 0.1405, 'stackexchange': 0.0249, 'wikipedia': 0.1656}"
0.9,0.933977431677412,0.1,0.1377094137563868,"{'arxiv': 0.86892177589852, 'book': 0.4327485380116959, 'c4': 0.1771, 'commoncrawl': 0.018775933609958505, 'github': 0.0855, 'stackexchange': 0.0093, 'wikipedia': 0.0916}"
0.95,0.9944998198437622,0.0500097599063049,0.0870556061987238,"{'arxiv': 0.649753347427766, 'book': 0.1286549707602339, 'c4': 0.0648, 'commoncrawl': 0.003838174273858921, 'github': 0.0488, 'stackexchange': 0.0015, 'wikipedia': 0.043}"
