Q,h,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,aliases,source,trust_status,in_trust_box,in_trust_l1,h_true,Q0,Q_cand,N_in_support,D_in_support,extrapolation,regime,D_B,N_B,L_pred,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,True,True,Q_above_A_supported,interior,5.966798050391992,0.22232416335630398,3.123094642754934,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162
0.5866115531490714,1.0,151767831.72257438,1477179921.234631,2048.0,2.048e-16,False,False,False,False,35185,8.399198682130787e+18,5.7338529670012845e+17,1.0274160211690829e+18,9.999999999999998e+18,2048.0,0.8399198682130787,0.05733852967001284,0.10274160211690829,2.048e-16,6769656056.279165,quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.4871620101591301,0.4871620101591301,True,True,Q_above_A_supported,interior,6.769656056279166,0.20678546079506624,3.113624825848789,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
0.608241527536118,1.0,262734788.9135925,1743842903.639843,2048.0,2.048e-16,False,False,False,False,35185,7.473038597376824e+18,1.0203188698285158e+18,1.5066425327946586e+18,9.999999999999998e+18,2048.0,0.7473038597376824,0.10203188698285158,0.15066425327946587,2.048e-16,5734461504.030816,quality_linear,0.0,1e+19,exponential,4096,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,True,True,Q_above_A_supported,interior,5.734461504030816,0.21719675544437037,3.1355734585409953,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162
0.5925194467920385,1.0,163954273.44628134,1545950194.954798,0.0,0.0,False,False,False,False,35185,7.865549804397993e+18,1.0739097332938062e+18,1.0605404623082001e+18,1e+19,0.0,0.7865549804397993,0.10739097332938062,0.10605404623082,0.0,6468513689.920257,quality_linear,0.0,1e+19,exponential,4096,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.4871620101591301,0.4871620101591301,True,True,Q_above_A_supported,interior,6.468513689920257,0.20266247089226253,3.126407217922416,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
0.6176065198096063,1.0,284960360.23435986,1873028248.002214,-2048.0,-2.048e-16,False,False,False,False,35185,6.65999019559207e+18,1.8186213227430077e+18,1.521388481664923e+18,1.0000000000000002e+19,-2048.0,0.665999019559207,0.1818621322743008,0.15213884816649229,-2.048e-16,5338947776.503678,quality_linear,0.0,1e+19,exponential,8192,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,True,True,Q_above_A_supported,interior,5.338947776503678,0.2079058294626956,3.158689755020952,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162
0.6032138283401868,1.0,187143299.96861866,1678068071.8653698,0.0,0.0,False,False,False,False,35185,6.979029104254854e+18,1.9057402140685258e+18,1.1152306816766193e+18,1e+19,0.0,0.6979029104254855,0.1905740214068526,0.11152306816766193,0.0,5959233816.351577,quality_linear,0.0,1e+19,exponential,8192,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.4871620101591301,0.4871620101591301,True,True,Q_above_A_supported,interior,5.959233816351577,0.19518809854115407,3.1500467143848034,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
0.6579444350341169,1.0,396343228.47152686,2541776212.0372643,0.0,0.0,False,False,False,False,35185,4.034229549570887e+18,4.4064544626779617e+18,1.559315987751152e+18,1e+19,0.0,0.40342295495708874,0.44064544626779617,0.15593159877511523,0.0,3934256663.762259,quality_linear,0.0,1e+19,exponential,32768,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,True,True,Q_above_A_supported,interior,3.934256663762259,0.17090181171661814,3.264133767913078,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162
0.647851246975936,1.0,301731400.4387903,2355894640.5392256,-2048.0,-2.048e-16,False,False,False,False,35185,4.1673699217948605e+18,4.5518792532458004e+18,1.280750824959341e+18,1.0000000000000002e+19,-2048.0,0.41673699217948607,0.45518792532458,0.1280750824959341,-2.048e-16,4244671993.3583975,quality_linear,0.0,1e+19,exponential,32768,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.4871620101591301,0.4871620101591301,True,True,Q_above_A_supported,interior,4.244671993358398,0.16363140773168142,3.2573793165752876,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
0.7325221309794708,1.0,688753932.5037249,4427190765.517844,0.0,0.0,False,False,False,False,35185,1.5727620252522634e+18,6.871502139128822e+18,1.5557358356189153e+18,1e+19,0.0,0.15727620252522634,0.6871502139128822,0.15557358356189152,0.0,2258768715.7931423,quality_linear,0.0,1e+19,exponential,131072,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,True,True,Q_above_A_supported,interior,2.2587687157931424,0.11604862524256605,3.4850599226598504,0.07975675893679825,0.15912348484004943,2.3916072319625646e-05,0.04412291332471955,0.006575218355045986,0.17830182371649192,0.10733470897284486,9.068824045565561e-08,0.04560213780581783,2.4674381484862554e-07,0.13022419207132135,0.09768966083516943,3.454312847749183e-05,0.036344172522635734,0.02597204058680974,0.04244271850151176,0.04645137289793162
0.7269924055681791,1.0,598137570.7581292,4250355747.6149907,0.0,0.0,False,False,False,False,35185,1.600415083213991e+18,6.992320192900808e+18,1.4072647238852022e+18,1e+19,0.0,0.1600415083213991,0.6992320192900807,0.1407264723885202,0.0,2352744239.2584,quality_linear,0.0,1e+19,exponential,131072,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.4871620101591301,0.4871620101591301,True,True,Q_above_A_supported,interior,2.3527442392584,0.1133722241251385,3.4806973867446125,0.0,0.0,0.0,0.11988006012024059,0.0,0.0,0.0,0.0,0.49689999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832199398797595
