variant,n_grid,q_grid,L,N_B,Q,regime,dL,dlog10N,dQ,L_rel,regime_same,stable
configured,201,101,1.690651755841625,0.7174417842712534,0.6990757300027267,interior,0.0,0.0,0.0,0.0,True,True
coarsen_x2,402,202,1.6906517558402,0.7176632896502052,0.6991226315854918,interior,-1.424860229803926e-12,0.00013406483790306956,4.6901582765102035e-05,8.427875373391813e-13,True,True
coarsen_x4,804,404,1.690651755841133,0.7177420408235633,0.6991560214379298,interior,-4.920508445138694e-13,0.00018171855541554427,8.029143520305038e-05,2.9104210421437207e-13,True,True
