C,cost_form,ell,q0_mode,enum_candidate,enum_L,enum_N_B,enum_Q,slsqp_L,slsqp_N_B,slsqp_Q,dL_slsqp_minus_enum,slsqp_Q_cand,enum_Q_cand,verdict
1e+19,exponential,4096,fixed_ref,dirichlet_a20_19,2.317978888240677,2.452147932686194,0.9374318954751326,1.8506731732303439,106.38138781961094,0.999999999999998,-0.46730571501033324,0.47537191445446064,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+19,power,4096,fixed_ref,dirichlet_a20_19,2.323227728747676,2.6993135410718607,0.9792507862219623,1.8507049375659714,106.49633834758498,0.9999999990909546,-0.4725227911817047,0.47537191499441855,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+19,logarithmic,4096,fixed_ref,dirichlet_a20_19,2.3065344327099977,2.348983682993269,1.0,1.8364236147456101,129.52315963956718,0.9999999999999996,-0.4701108179643876,0.4779480480344501,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+22,exponential,4096,fixed_ref,dirichlet_a20_19,1.9006234407477633,48.52587032618282,1.0,1.7454658724609775,2394.8928191551818,0.9999999943423428,-0.15515756828678584,0.47537301728422665,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+22,power,4096,fixed_ref,dirichlet_a20_19,1.900714286782681,48.66910202695012,1.0,1.7454685623073467,2393.231944208982,0.9999999999999929,-0.15524572447533425,0.47537191503011117,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+22,logarithmic,4096,fixed_ref,dirichlet_a20_19,1.9003888181897524,48.1223321830946,1.0,1.7454668161699973,2394.2041325871996,0.9999999980188486,-0.15492200201975503,0.47537191491274533,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+24,exponential,4096,fixed_ref,dirichlet_a20_19,1.793602663387185,383.5188078135842,1.0,1.7178100309721511,9999.99992331444,0.9999999997967102,-0.07579263241503398,0.47537191509029003,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+24,power,4096,fixed_ref,dirichlet_a20_19,1.7936083649016221,383.70724549228004,1.0,1.7178100770872409,9999.99999808038,0.9999999995426544,-0.07579828781438125,0.4753719177132891,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+24,logarithmic,4096,fixed_ref,dirichlet_a20_19,1.7935880367105834,383.1422100345774,1.0,1.7178099069615484,9999.999999256399,0.9999999864498993,-0.07577812974903497,0.47537191544992,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+19,exponential,4096,mixture,dirichlet_a20_19,2.3178890923444686,2.4485369752550445,0.9370742374994626,1.8506660954839687,106.4329597646404,0.9999999984282654,-0.46722299686049995,0.47537283638859357,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+19,power,4096,mixture,dirichlet_a20_19,2.3230695235330954,2.6926919169930303,0.9781909283025989,1.850701332267044,106.58576657199298,0.9999999999999999,-0.47236819126605134,0.4753719253792354,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
1e+19,logarithmic,4096,mixture,dirichlet_a20_19,2.3060712773107,2.3374733423137264,1.0,1.850584120804554,106.00952888140665,0.999999999912013,-0.455487156506146,0.4753719154422458,0.43829657372764846,SLSQP 更优：枚举候选集未覆盖连续最优，须扩充候选
