functional,omega,C,cost_form,ell,q0_mode,start,success,L_pred,N_B,Q,h,Q0,Q_ge_Q0,n_iter,message,Q_cand,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,0,True,1.8506731760571655,106.38534131310537,1.0,913152.4995102395,0.41663254110330095,True,178,Optimization terminated successfully,0.4753719139637439,0.11302252144521435,0.09682483066406362,0.005889678668602487,0.11375419083132703,0.0521809752442284,0.025462852085624016,2.5004141677825396e-16,0.005487695989665655,0.3994324234438959,0.0022110319304922436,1.0681267286464198e-18,8.607394889453758e-12,0.01959999678213577,0.012737063406786805,0.011650822329187181,0.06618116532187636,0.07556475184829264
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,1,True,1.8506731732303439,106.38138781961094,0.999999999999998,913152.6042101834,0.41663254110330095,True,216,Optimization terminated successfully,0.47537191445446064,0.11302252285816677,0.09682483100910387,0.005889678809770995,0.11375419034599676,0.05218097141894964,0.02546285296527939,4.982858420880468e-15,0.005487696202278562,0.3994324234417518,0.0022110321732611987,1.3737831882110359e-15,4.089013495151624e-18,0.01959999743163163,0.012737064251734867,0.011650821284939631,0.06618116557614677,0.0755647522309818
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,2,True,1.8506731781132477,106.38387995934085,0.9999999999999998,913152.423733854,0.41663254110330095,True,421,Optimization terminated successfully,0.47537191360858855,0.11302252083416656,0.09682483093298491,0.005889679804960182,0.11375418935663185,0.0521809688616705,0.02546285367039272,5.0950948736180805e-17,0.005487696555954199,0.39943242344408175,0.002211031469132514,3.260333103296124e-17,8.807111163555568e-09,0.019599996847367455,0.012737062517430623,0.011650820655922767,0.0661811641999873,0.07556475204220531
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,3,False,1.8506731836826882,106.27473295962466,0.9999999989582262,913152.5264556163,0.41663254110330095,True,500,Iteration limit reached,0.4753719140900338,0.11302252216645466,0.09682483088923241,0.005889678296796811,0.11375418942508546,0.05218097203738935,0.025462852509979483,1.7051843992339442e-09,0.005487695640446589,0.39943242888425234,0.0022110315120429575,1.2611676878794828e-14,3.861087545054585e-10,0.01959999674529265,0.012737063392969032,0.011650820549243402,0.06618116450739357,0.07556475135211571
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,4,False,1.8506731900257882,106.50824882668317,1.0,913152.3608213651,0.41663254110330095,True,500,Iteration limit reached,0.4753719133137248,0.113022522744306,0.09682483037475433,0.00588967865485467,0.11375418939078073,0.05218097983677558,0.025462852422314285,2.9384185936909275e-23,0.005487695548272674,0.3994324234501242,0.0022110315207528987,3.327074793037699e-17,1.8858651155884348e-10,0.019599996540095286,0.012737063151428474,0.011650820566997688,0.06618116423208141,0.07556475137787534
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,5,True,1.8506731773856084,106.38742481444255,0.9999999996588769,913152.450838897,0.41663254110330095,True,184,Optimization terminated successfully,0.4753719137356268,0.11302252401471012,0.09682482904818,0.005889679601936656,0.11375418958103331,0.052180972050760624,0.0254628523246372,3.786967791340316e-17,0.005487696095996752,0.39943242344378893,0.0022110321406693502,3.5276659660206856e-17,4.514848846289123e-09,0.019599997586527706,0.012737063079585501,0.01165082024661657,0.06618116543651562,0.07556475083419267
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,6,True,1.850673175081608,106.34449577744716,0.9999999999999999,913152.5776352591,0.41663254110330095,True,210,Optimization terminated successfully,0.475371914329907,0.11302252451484744,0.09682483040216536,0.005889679569185608,0.11375419087940382,0.05218097105031147,0.025462853122065837,8.744332418556858e-17,0.00548769594928211,0.39943242344180185,0.0022110321064825436,4.3619698117171356e-17,1.1104867863370111e-09,0.0195999973299058,0.012737063450362853,0.0116508208723999,0.06618116488341964,0.07556475131787867
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,7,False,1.8507669372998705,108.23523023888147,0.9999999999990787,909802.1140274783,0.41663254110330095,True,500,Iteration limit reached,0.4753561822087039,0.1130225219309386,0.09683858621511299,0.005889683237546436,0.1139647196392653,0.05218095842791919,0.025495279351301386,1.0482858883457639e-13,0.005579654548142586,0.3986799162843993,0.0024145149083115046,4.588332928143707e-13,1.5235930986727614e-12,0.01961991169544027,0.012848515036322505,0.011665026443984115,0.06623595914436056,0.07556475313486812
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,8,True,1.8506731999646497,106.39646189717092,0.9999999999999996,913151.6206597217,0.41663254110330095,True,297,Optimization terminated successfully,0.4753719098446691,0.11302264015447791,0.0968248393202233,0.0058896892773965355,0.11375419105108348,0.05218075856230652,0.025462854564166842,6.65488107972268e-15,0.005487705656705358,0.39943223531571803,0.00221103988706865,1.758202853448645e-16,1.9962746284663519e-07,0.019600003808232385,0.012737067043928843,0.0116508312157508,0.06618118144833746,0.07556476306713421
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,9,True,1.8510500736433122,109.11816792023318,0.999999999831422,899657.631463528,0.41663254110330095,True,251,Optimization terminated successfully,0.4753081930331877,0.11302252583298263,0.09780573851782388,0.005965860910555919,0.11374224870536653,0.052205926704726666,0.025471094067150594,3.2549892595191735e-17,0.005504174308986995,0.3965546852460595,0.0021980068129055573,5.347172927206517e-17,6.075770358796088e-11,0.02095281603604732,0.012786850885287998,0.011832579141640159,0.06627444737637028,0.07568304539333809
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,10,True,1.850673192723994,106.55272683801495,1.0,913152.5832743202,0.41663254110330095,True,165,Optimization terminated successfully,0.47537191435633663,0.1130225250856062,0.09682483089783848,0.00588967917941155,0.11375418946906794,0.052180971856600006,0.02546285271891186,1.498241383798104e-19,0.005487695584199305,0.3994324234432742,0.0022110312035708087,1.3037919230889183e-17,8.824489868489232e-11,0.01959999773255534,0.012737063034873874,0.011650820837537199,0.06618116587815398,0.07556475299015418
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,11,False,1.8506731757100785,106.35602250278775,0.9999999999999872,913152.5340941919,0.41663254110330095,True,500,Iteration limit reached,0.47537191412583496,0.11302252121586355,0.09682483143189047,0.005889678633789271,0.11375419016662097,0.052180974022817087,0.02546285371129268,3.9227166049518087e-13,0.005487695922231734,0.3994324237713734,0.002211031811359942,4.429020957915444e-12,7.100875589278342e-11,0.019599997321284333,0.012737063560011086,0.01165082147167473,0.06618116495918924,0.07556475192477154
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,12,False,1.8506771802539104,104.88427205739289,0.9999999999999999,913061.670956551,0.41663254110330095,True,500,Iteration limit reached,0.47537148823942926,0.11302106379746875,0.09682485388482369,0.005888261226114557,0.11375418891820493,0.05218283851477381,0.025462848593884792,4.003952859397049e-18,0.005487696726231904,0.39942968995281103,0.0022110298598984135,9.078079818893317e-17,1.0174236374001664e-06,0.019602030720567914,0.012737744259170389,0.011650820407565632,0.066181165073017,0.07556475064182977
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,13,False,1.8506731751974588,106.38143126686325,0.9999999992792967,913152.5321474761,0.41663254110330095,True,500,Iteration limit reached,0.4753719141167109,0.11302252306308341,0.0968248305590214,0.005889678474614203,0.11375418930382039,0.05218097444788645,0.02546285404045312,1.7647622279444467e-11,0.00548769484877098,0.3994324278512681,0.0022110314285835693,1.0357804603374905e-12,1.576688441647939e-10,0.019599995888774646,0.012737061810120312,0.01165082212411606,0.06618116359023464,0.07556475239290045
