event,cost_form,ell,kappa,from,to,C_before,C_after,log10_C_mid,share_quality_before,share_quality_after,note,functional,omega
Q_regime_change,logarithmic,8192,0.8047071577351047,lower_bound_Q0,upper_bound,6.309573444801943e+18,7.943282347242789e+18,18.85,0.0,0.3808635238272406,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,logarithmic,32768,0.8047071577351047,lower_bound_Q0,upper_bound,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.38732412446671877,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,logarithmic,32768,0.8047071577351047,lower_bound_Q0,upper_bound,3.1622776601683794e+18,3.9810717055349857e+18,18.55,0.0,0.38732412446671877,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,logarithmic,131072,0.8047071577351047,lower_bound_Q0,upper_bound,1e+18,1.2589254117941714e+18,18.05,0.0,0.3878478489797717,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,logarithmic,131072,0.8047071577351047,lower_bound_Q0,upper_bound,1e+18,1.2589254117941714e+18,18.05,0.0,0.3878478489797717,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,2048,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.003699925041056432,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,2048,0.8047071577351047,interior,upper_bound,1.995262314968883e+21,2.5118864315095717e+21,21.35,0.1950957494403415,0.18244403584479546,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,2048,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.003699925041056432,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,2048,0.8047071577351047,interior,upper_bound,1.995262314968883e+21,2.5118864315095717e+21,21.35,0.1950957494403415,0.18244403584479546,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
Q_regime_change,power,4096,0.8047071577351047,lower_bound_Q0,interior,3.9810717055349857e+18,5.011872336272715e+18,18.65,0.0,0.01683569146857585,预定义事件 1（Q* 离开/进入边界）,mixture_l1,0.5
