kappa_name,kappa,functional,omega,C,cost_form,ell,q0_mode,candidate,N_B,D_B,Q,Q0,h,L_pred,regime
none,0.0,quality_linear,1.0,1e+22,exponential,4096,fixed_ref,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.41663254110330095,0.41663254110330095,157.88648942775845,1.9002397618919775,lower_bound_Q0
none,0.0,quality_linear,1.0,1e+22,exponential,4096,mixture,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.43829657372764846,0.43829657372764846,157.88648942775845,1.9002397618919775,lower_bound_Q0
none,0.0,quality_linear,1.0,1e+22,power,4096,fixed_ref,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.41663254110330095,0.41663254110330095,157.88648942775845,1.9002397618919775,lower_bound_Q0
none,0.0,quality_linear,1.0,1e+22,power,4096,mixture,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.43829657372764846,0.43829657372764846,157.88648942775845,1.9002397618919775,lower_bound_Q0
none,0.0,quality_linear,1.0,1e+22,logarithmic,4096,fixed_ref,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.41663254110330095,0.41663254110330095,157.88648942775845,1.9002397618919775,lower_bound_Q0
none,0.0,quality_linear,1.0,1e+22,logarithmic,4096,mixture,dirichlet_a20_19,47.8630092322638,30.638434579628708,0.43829657372764846,0.43829657372764846,157.88648942775845,1.9002397618919775,lower_bound_Q0
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,exponential,4096,fixed_ref,dirichlet_a20_19,48.52587032618282,29.866784922492574,1.0,0.41663254110330095,157.88648942775845,1.9006234407477633,upper_bound
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,exponential,4096,mixture,dirichlet_a20_19,48.52587032618282,29.86829315438663,1.0,0.43829657372764846,157.88648942775845,1.90062179780813,upper_bound
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,power,4096,fixed_ref,dirichlet_a20_19,48.66910202695012,29.697058599009406,1.0,0.41663254110330095,157.88648942775845,1.900714286782681,upper_bound
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,power,4096,mixture,dirichlet_a20_19,48.66910202695012,29.700045487182223,1.0,0.43829657372764846,157.88648942775845,1.900711009406602,upper_bound
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,logarithmic,4096,fixed_ref,dirichlet_a20_19,48.1223321830946,30.33361441782628,1.0,0.41663254110330095,157.88648942775845,1.9003888181897524,upper_bound
M1_staged,0.8047071577351047,quality_linear,1.0,1e+22,logarithmic,4096,mixture,dirichlet_a20_19,48.09869942484846,30.35601878382567,1.0,0.43829657372764846,157.88648942775845,1.9003807439016611,upper_bound
