functional,omega,C,cost_form,ell,q0_mode,candidate,Q_cand,h,N_B,Q,L_pred,q_at_lower,q_at_upper
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,reference_p0,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__freelaw_down,0.42083385779990545,1.6336652468475261,0.025118864315095822,0.41663254110330095,1.692154108146762,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__pubmed_central_down,0.4208338577999056,1.6336652468475579,0.025118864315095822,0.41663254110330095,1.692154108146762,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__wikipedia_en_down,0.42263566477155895,2.016423367645766,0.025118864315095822,0.41663254110330095,1.6920810354954932,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__github_down,0.4263161357952343,3.099691967487602,0.03981071705534969,0.41663254110330095,1.691934951666196,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__stackexchange_down,0.41496032483094986,0.8225388481714885,0.01584893192461114,0.41663254110330095,1.6924203103857027,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__pile_cc_down,0.4228767237206731,2.0740173218565765,0.025118864315095822,0.41663254110330095,1.6920715817568412,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__pubmed_abstracts_down,0.4208338577999056,1.6336652468475579,0.025118864315095822,0.41663254110330095,1.692154108146762,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_arxiv_up__uspto_backgrounds_down,0.4208338577999056,1.6336652468475579,0.025118864315095822,0.41663254110330095,1.692154108146762,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__arxiv_down,0.4116148576053034,0.5564379720467882,0.01584893192461114,0.41663254110330095,1.6925775758087935,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__pubmed_central_down,0.416632541103301,1.0000000000000064,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__wikipedia_en_down,0.41820122115064357,1.2011311846144939,0.025118864315095822,0.41663254110330095,1.6922689218867395,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__github_down,0.42223927225863445,1.9251734917967431,0.025118864315095822,0.41663254110330095,1.692096743957708,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__stackexchange_down,0.4097801753790527,0.4490866130488783,0.01584893192461114,0.41663254110330095,1.6926714109699292,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__pile_cc_down,0.41846570043883785,1.2388233503035626,0.025118864315095822,0.41663254110330095,1.6922569358368624,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__pubmed_abstracts_down,0.416632541103301,1.0000000000000064,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_freelaw_up__uspto_backgrounds_down,0.416632541103301,1.0000000000000064,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__arxiv_down,0.4116148576053034,0.5564379720467882,0.01584893192461114,0.41663254110330095,1.6925775758087935,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__freelaw_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__pubmed_central_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__wikipedia_en_down,0.41820122115064357,1.2011311846144939,0.025118864315095822,0.41663254110330095,1.6922689218867395,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__github_down,0.4222392722586345,1.9251734917967558,0.025118864315095822,0.41663254110330095,1.692096743957708,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__stackexchange_down,0.4097801753790527,0.4490866130488783,0.01584893192461114,0.41663254110330095,1.6926714109699292,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__pile_cc_down,0.41846570043883785,1.2388233503035626,0.025118864315095822,0.41663254110330095,1.6922569358368624,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__pubmed_abstracts_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_nih_exporter_up__uspto_backgrounds_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__arxiv_down,0.4116148576053034,0.5564379720467882,0.01584893192461114,0.41663254110330095,1.6925775758087935,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__freelaw_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__wikipedia_en_down,0.41820122115064357,1.2011311846144939,0.025118864315095822,0.41663254110330095,1.6922689218867395,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__github_down,0.4222392722586345,1.9251734917967558,0.025118864315095822,0.41663254110330095,1.692096743957708,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__stackexchange_down,0.4097801753790527,0.4490866130488783,0.01584893192461114,0.41663254110330095,1.6926714109699292,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__pile_cc_down,0.41846570043883785,1.2388233503035626,0.025118864315095822,0.41663254110330095,1.6922569358368624,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__pubmed_abstracts_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_pubmed_central_up__uspto_backgrounds_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__arxiv_down,0.410629417435043,0.49592759935505815,0.01584893192461114,0.41663254110330095,1.6926272761033272,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__freelaw_down,0.415319082078402,0.8577461136493001,0.01584893192461114,0.41663254110330095,1.692404444558873,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__pubmed_central_down,0.415319082078402,0.8577461136493001,0.01584893192461114,0.41663254110330095,1.692404444558873,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__github_down,0.4203130121269762,1.5372227961762537,0.025118864315095822,0.41663254110330095,1.6921760457516755,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__stackexchange_down,0.4089572011626919,0.4079197163499609,0.01584893192461114,0.41663254110330095,1.692715366005501,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__pile_cc_down,0.416873600052415,1.0285624314491255,0.025118864315095822,0.41663254110330095,1.6923306801967586,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__pubmed_abstracts_down,0.415319082078402,0.8577461136493001,0.01584893192461114,0.41663254110330095,1.692404444558873,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_wikipedia_en_up__uspto_backgrounds_down,0.415319082078402,0.8577461136493001,0.01584893192461114,0.41663254110330095,1.692404444558873,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__arxiv_down,0.4116148576053034,0.5564379720467882,0.01584893192461114,0.41663254110330095,1.6925775758087935,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__freelaw_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__pubmed_central_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__wikipedia_en_down,0.41820122115064357,1.2011311846144939,0.025118864315095822,0.41663254110330095,1.6922689218867395,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__github_down,0.4222392722586345,1.9251734917967558,0.025118864315095822,0.41663254110330095,1.692096743957708,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__stackexchange_down,0.4097801753790527,0.4490866130488783,0.01584893192461114,0.41663254110330095,1.6926714109699292,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__pile_cc_down,0.41846570043883785,1.2388233503035626,0.025118864315095822,0.41663254110330095,1.6922569358368624,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__pubmed_abstracts_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_dm_mathematics_up__uspto_backgrounds_down,0.41663254110330095,1.0,0.025118864315095822,0.41663254110330095,1.6923421842095077,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__arxiv_down,0.4069489464113676,0.3226127016777514,0.01584893192461114,0.41663254110330095,1.6928277250885808,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__freelaw_down,0.4119380135936091,0.5778469044285676,0.01584893192461114,0.41663254110330095,1.6925616231544065,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__pubmed_central_down,0.4119380135936091,0.5778469044285676,0.01584893192461114,0.41663254110330095,1.6925616231544065,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__wikipedia_en_down,0.41295207007962564,0.6505237903623545,0.01584893192461114,0.41663254110330095,1.6925126445502905,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__stackexchange_down,0.4052767301390166,0.26536148004351306,0.01,0.41663254110330095,1.6929152115880421,True,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,shift_github_up__pile_cc_down,0.4131931290287397,0.6691043315306044,0.01584893192461114,0.41663254110330095,1.6925012384475473,True,False
