L,Q,h,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,aliases,source,trust_status,in_trust_box,in_trust_l1,h_true,Q0,Q_cand,N_B,D_B
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.39710837194347914,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_8,dirichlet_a20_8,dirichlet_around_p0|lowQ,box_only,True,False,1.0,0.41663254110330095,0.39165478511524476,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_9,dirichlet_a20_9,dirichlet_around_p0|topQ,box_only,True,False,1.0,0.41663254110330095,0.42616060171350606,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_17,dirichlet_a20_17,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.41663254110330095,0.37841726689299515,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_18,dirichlet_a20_18,dirichlet_around_p0|lowQ,box_only,True,False,1.0,0.41663254110330095,0.39407683989185316,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,1.0,0.41663254110330095,0.4871620101591301,0.22232416335630398,5.966798050391992
3.123094642754934,0.6030456680355448,1.0,250931792.60632232,1675940750.0548885,0.0,0.0,False,False,False,False,35185,7.959380306816552e+18,5.433603622786766e+17,1.4972593309047716e+18,1e+19,0.0,0.7959380306816551,0.05433603622786766,0.14972593309047716,0.0,5966798050.391992,quality_linear,0.0,1e+19,exponential,2048,fixed_ref,0.8047071577351047,slsqp_maxQ_nol1,slsqp_maxQ_nol1,numeric_slsqp_reference,box_only,True,False,1.0,0.41663254110330095,0.4871620101591301,0.22232416335630398,5.966798050391992
3.1249732351267854,0.6060786487829101,1.0,271241050.95884466,1715275634.154494,0.0,0.0,False,False,False,False,35185,7.880685544908913e+18,5.3798813319911514e+17,1.5813263218919726e+18,1e+19,0.0,0.7880685544908913,0.053798813319911515,0.15813263218919726,0.0,5829966800.017696,quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,1.0,0.39710837194347914,0.39710837194347914,0.2252924649269298,5.829966800017696
3.1254544225622363,0.6068467657938121,1.0,276481985.699631,1725490467.444482,0.0,0.0,False,False,False,False,35185,7.861016105128766e+18,5.366453661101239e+17,1.6023385287611092e+18,1e+19,0.0,0.7861016105128766,0.05366453661101239,0.16023385287611092,0.0,5795453634.009573,quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,dirichlet_a20_8,dirichlet_a20_8,dirichlet_around_p0|lowQ,box_only,True,False,1.0,0.39165478511524476,0.39165478511524476,0.22606847256378731,5.795453634009573
3.122080807971964,0.6013728979903156,1.0,240043546.89291656,1654591238.3743486,0.0,0.0,False,False,False,False,35185,8.002896435715516e+18,5.4633106334484595e+17,1.4507725009396375e+18,1e+19,0.0,0.8002896435715516,0.054633106334484594,0.14507725009396374,0.0,6043788802.982598,quality_linear,0.0,1e+19,exponential,2048,mixture,0.8047071577351047,dirichlet_a20_9,dirichlet_a20_9,dirichlet_around_p0|topQ,box_only,True,False,1.0,0.42616060171350606,0.42616060171350606,0.22069203873586996,6.043788802982598
