C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+22,8192,exponential,mixture,0.0,0.0,0.7148653522293064,0.1952058988487493,0.08992874892194415,2.097152e-16,1.0,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+22,32768,exponential,fixed_ref,0.0,1.6634152594612464e-16,0.4436433413381955,0.4845768336323329,0.07177982502947164,0.0,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+22,32768,exponential,mixture,0.0,0.0,0.44376540684240795,0.48471016171373416,0.07152443144385785,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,131072,exponential,fixed_ref,0.0,0.0,0.17778196913911398,0.7767412753000649,0.04547675556082129,-2.097152e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,exponential,mixture,0.0,0.0,0.17781691363425675,0.7768939501289768,0.04528913623676661,-2.097152e-16,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,2048,power,fixed_ref,0.0,0.0,0.8276987226605013,0.056504232800290224,0.11579704453920853,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,power,mixture,0.0,0.0,0.8282748953581418,0.05654356618978248,0.11518153845207574,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,power,fixed_ref,0.0,0.0,0.7806554887079689,0.10658549605826136,0.1127590152337698,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,power,mixture,0.0,0.0,0.781184647084498,0.10665774381527014,0.11215760910023184,0.0,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+22,8192,power,fixed_ref,0.0,0.0,0.701180898032932,0.19146913055619263,0.10734997141087539,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,power,mixture,0.0,0.0,0.701633371243971,0.191592685907687,0.10677394284834238,-4.194304e-16,0.9999999999999998,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,power,fixed_ref,0.0,0.0,0.4368350434310975,0.47714035677167344,0.0860245997972291,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,32768,power,mixture,0.0,0.0,0.43706090655198376,0.4773870595298468,0.08555203391816953,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,131072,power,fixed_ref,0.0,0.0,0.175981861961743,0.7688764870349862,0.055141651003270946,-2.097152e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,power,mixture,0.0,0.0,0.17604491610029502,0.7691519747699288,0.054803109129776324,-2.097152e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,2048,logarithmic,fixed_ref,0.0,0.0,0.8959938451068744,0.06116651315929595,0.04283964173382965,0.0,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+22,2048,logarithmic,mixture,0.0,0.0,0.8979954062520585,0.0613031530668072,0.04070144068113431,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,logarithmic,fixed_ref,0.0,0.0,0.843329661453557,0.11514260977712563,0.04152772876931721,2.097152e-16,1.0,0.1365333333333333,2.7755575615628914e-17,True,True,True,True,True
1e+22,4096,logarithmic,mixture,0.0,0.0,0.8451393759239394,0.11538969612614854,0.03947092794991206,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
