functional,omega,C,cost_form,ell,q0_mode,argmin_L_candidate,L_pred,Q_cand,argmax_Q_candidate,consistent
mixture_l1,2.0,1e+19,power,4096,fixed_ref,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+19,power,4096,mixture,reference_p0,1.6923421842095077,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,exponential,4096,fixed_ref,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,exponential,4096,mixture,reference_p0,1.690640161393459,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,logarithmic,4096,fixed_ref,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,logarithmic,4096,mixture,reference_p0,1.6906221846471374,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,power,4096,fixed_ref,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+22,power,4096,mixture,reference_p0,1.6906543825429672,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,exponential,4096,fixed_ref,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,exponential,4096,mixture,reference_p0,1.6901932296673454,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,logarithmic,4096,fixed_ref,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,logarithmic,4096,mixture,reference_p0,1.690189863156481,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,power,4096,fixed_ref,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
mixture_l1,2.0,1e+24,power,4096,mixture,reference_p0,1.6901945096263993,0.41663254110330095,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,exponential,4096,fixed_ref,lp_vertex_box,1.690474476304229,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,exponential,4096,mixture,lp_vertex_box,1.6904736516059748,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,logarithmic,4096,fixed_ref,lp_vertex_box,1.6904599619568235,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,logarithmic,4096,mixture,lp_vertex_box,1.690457856622005,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,power,4096,fixed_ref,lp_vertex_box,1.6904828546468649,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+19,power,4096,mixture,lp_vertex_box,1.6904818767261118,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,exponential,4096,fixed_ref,lp_vertex_box,1.6900218651289638,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,exponential,4096,mixture,lp_vertex_box,1.6900218513524863,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,logarithmic,4096,fixed_ref,lp_vertex_box,1.690021346715762,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,logarithmic,4096,mixture,lp_vertex_box,1.6900212910999821,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,power,4096,fixed_ref,lp_vertex_box,1.6900220657976688,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+22,power,4096,mixture,lp_vertex_box,1.6900220377994737,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,exponential,4096,fixed_ref,lp_vertex_box,1.6899076597629492,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,exponential,4096,mixture,lp_vertex_box,1.6899076591042343,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,logarithmic,4096,fixed_ref,lp_vertex_box,1.6899076351020008,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,logarithmic,4096,mixture,lp_vertex_box,1.68990763247179,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,power,4096,fixed_ref,lp_vertex_box,1.6899076693787,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,0.5,1e+24,power,4096,mixture,lp_vertex_box,1.6899076680347198,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,lp_vertex_box,1.6899800256147326,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,exponential,4096,mixture,lp_vertex_box,1.6899800194641017,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,logarithmic,4096,fixed_ref,lp_vertex_box,1.689979794753693,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,logarithmic,4096,mixture,lp_vertex_box,1.6899797700588388,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,power,4096,fixed_ref,lp_vertex_box,1.6899801153016059,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+19,power,4096,mixture,lp_vertex_box,1.689980102777256,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,exponential,4096,fixed_ref,lp_vertex_box,1.6898606986552533,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,exponential,4096,mixture,lp_vertex_box,1.689860698556772,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898606949695887,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,logarithmic,4096,mixture,lp_vertex_box,1.6898606945766497,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,power,4096,fixed_ref,lp_vertex_box,1.689860700093072,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+22,power,4096,mixture,lp_vertex_box,1.6898606998920862,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,exponential,4096,fixed_ref,lp_vertex_box,1.689828615622475,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,exponential,4096,mixture,lp_vertex_box,1.6898286156178444,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898286154491897,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,logarithmic,4096,mixture,lp_vertex_box,1.689828615430718,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,power,4096,fixed_ref,lp_vertex_box,1.6898286156900884,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,1.0,1e+24,power,4096,mixture,lp_vertex_box,1.6898286156806366,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,exponential,4096,fixed_ref,lp_vertex_box,1.6898154102775984,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,exponential,4096,mixture,lp_vertex_box,1.689815410276445,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898154102344383,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,logarithmic,4096,mixture,lp_vertex_box,1.6898154102298375,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,power,4096,fixed_ref,lp_vertex_box,1.689815410294439,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+19,power,4096,mixture,lp_vertex_box,1.6898154102920848,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,exponential,4096,fixed_ref,lp_vertex_box,1.6898116639426093,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,exponential,4096,mixture,lp_vertex_box,1.6898116639424423,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898116639363654,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,logarithmic,4096,mixture,lp_vertex_box,1.6898116639357,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,power,4096,fixed_ref,lp_vertex_box,1.6898116639450456,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+22,power,4096,mixture,lp_vertex_box,1.689811663944705,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,exponential,4096,fixed_ref,lp_vertex_box,1.6898112049261302,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,exponential,4096,mixture,lp_vertex_box,1.6898112049260843,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,logarithmic,4096,fixed_ref,lp_vertex_box,1.6898112049244094,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,logarithmic,4096,mixture,lp_vertex_box,1.689811204924226,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,power,4096,fixed_ref,lp_vertex_box,1.6898112049268015,0.4871620101591301,slsqp_maxQ_nol1,False
quality_linear,2.0,1e+24,power,4096,mixture,lp_vertex_box,1.6898112049267076,0.4871620101591301,slsqp_maxQ_nol1,False
