C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode
1e+17,17.0,exponential,2048,0.8047071577351047,0.41663254110330095,6.969473963563197,0.0020582895983394635,1.0,14352791.931543907,1.6901675693213039,0.8607117459059904,0.05875792185384895,0.08053033224016058,0.0,upper_bound,False,True,False,False,0.0,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941714e+17,17.1,exponential,2048,0.8047071577351047,0.41663254110330095,7.668198266533301,0.0023725299681389275,1.0,14352791.931543907,1.690154264418339,0.8670742532579385,0.0591922690224086,0.07373347771965279,0.0,upper_bound,False,True,False,False,0.0,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.584893192461111e+17,17.2,exponential,2048,0.8047071577351047,0.41663254110330095,8.441118555927671,0.0027317887774982374,1.0,14352791.931543907,1.6901414763689102,0.8729680858105328,0.05959462132466571,0.06743729286480153,2.0190635023366216e-16,upper_bound,False,True,False,False,2.0190635023366216e-16,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.995262314968883e+17,17.3,exponential,2048,0.8047071577351047,0.41663254110330095,9.296511267457968,0.003142174743296561,1.0,14352791.931543907,1.6901291809330063,0.8784187227783299,0.059966718141667326,0.06161455908000277,0.0,upper_bound,False,True,False,False,0.0,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
2.511886431509572e+17,17.4,exponential,2048,0.8047071577351047,0.41663254110330095,10.248650113344706,0.0036089163029420102,1.0,14352791.931543907,1.6901173553761857,0.8834759409477844,0.06031195756870208,0.05621210148351362,0.0,upper_bound,False,True,False,False,0.0,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.1622776601683795e+17,17.5,exponential,2048,0.8047071577351047,0.41663254110330095,11.303857308567107,0.004140966431443126,1.0,14352791.931543907,1.6901059783631183,0.888136312320665,0.0606301055877574,0.05123358209157744,0.0,upper_bound,False,True,False,False,0.0,True,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.9810717055349856e+17,17.6,exponential,2048,0.8047071577351047,0.41663254110330095,12.467709272860153,0.004749236072900863,1.0,14352791.931543907,1.6900950298454183,0.8924043424204181,0.06092146977590054,0.046674187803681204,1.607607316166126e-16,upper_bound,False,True,False,False,1.607607316166126e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
5.011872336272715e+17,17.7,exponential,2048,0.8047071577351047,0.41663254110330095,13.764908642519991,0.005439407221526531,1.0,14352791.931543907,1.6900844909656765,0.896346975144126,0.061190620169839,0.042462404686035064,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
6.309573444801943e+17,17.8,exponential,2048,0.8047071577351047,0.41663254110330095,15.200807760421458,0.006225922856894321,1.0,14352791.931543907,1.6900743439717532,0.8999567781257699,0.06143704938671923,0.038606172487510845,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
7.943282347242789e+17,17.9,exponential,2048,0.8047071577351047,0.41663254110330095,16.79886732060524,0.007118497115524473,1.0,14352791.931543907,1.690064572125719,0.9032741126769742,0.06166351275874812,0.03506237456427758,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1e+18,18.0,exponential,2048,0.8047071577351047,0.41663254110330095,18.56493073940922,0.008136281543966622,1.0,14352791.931543907,1.690055159633344,0.9062970200404432,0.061869876568094256,0.03183310339146246,1.28e-16,upper_bound,False,True,False,False,1.28e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941714e+18,18.1,exponential,2048,0.8047071577351047,0.41663254110330095,20.526740879110694,0.00929228694068892,1.0,14352791.931543907,1.6900460915695115,0.9090627502738068,0.06205868375202521,0.028878565974167984,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.5848931924611108e+18,18.2,exponential,2048,0.8047071577351047,0.41663254110330095,22.707012550608855,0.01060445901250988,1.0,14352791.931543907,1.6900373538153382,0.9115904530407813,0.062231241594250676,0.02617830536496793,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.995262314968883e+18,18.3,exponential,2048,0.8047071577351047,0.41663254110330095,25.11886431509582,0.012098778463525632,1.0,14352791.931543907,1.6900289329966462,0.9138875795640238,0.06238805876490402,0.023724361671072343,-1.2830393180858148e-16,upper_bound,False,True,False,False,-1.2830393180858148e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
2.511886431509572e+18,18.4,exponential,2048,0.8047071577351047,0.41663254110330095,27.800546501249535,0.013793777223803934,1.0,14352791.931543907,1.690020816433513,0.9159837968656426,0.06253116053269453,0.02148504260166281,2.0383087132339125e-16,upper_bound,False,True,False,False,2.0383087132339125e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.1622776601683794e+18,18.5,exponential,2048,0.8047071577351047,0.41663254110330095,30.768524248274296,0.015722835642860245,1.0,14352791.931543907,1.6900129920852327,0.9178860967633398,0.06266102420571067,0.019452879030949558,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.9810717055349857e+18,18.6,exponential,2048,0.8047071577351047,0.41663254110330095,34.05336238171018,0.017918152986471907,1.0,14352791.931543907,1.6900054485110991,0.9196117055780393,0.06277882576746083,0.017609468654499937,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
5.011872336272715e+18,18.7,exponential,2048,0.8047071577351047,0.41663254110330095,37.72593394540078,0.020396627875974,1.0,14352791.931543907,1.6899981748224953,0.9211908656039377,0.06288662975856216,0.0159225046375,2.043148610528136e-16,upper_bound,False,True,False,False,2.043148610528136e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
6.309573444801943e+18,18.8,exponential,2048,0.8047071577351047,0.41663254110330095,41.78431947098528,0.023219731724938932,1.0,14352791.931543907,1.6899911606509654,0.9226176985622291,0.06298403488851484,0.014398266549256349,-1.6229306290801775e-16,upper_bound,False,True,False,False,-1.6229306290801775e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
7.943282347242789e+18,18.9,exponential,2048,0.8047071577351047,0.41663254110330095,46.267922557980405,0.026436071084656624,1.0,14352791.931543907,1.6899843961100742,0.9239067953615362,0.06307203723001421,0.013021167408449613,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1e+19,19.0,exponential,2048,0.8047071577351047,0.41663254110330095,51.2829894105414,0.03006470493964832,1.0,14352791.931543907,1.6899778717652205,0.9250847670306218,0.06315245342929046,0.011762779540087696,2.048e-16,upper_bound,False,True,False,False,2.048e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941713e+19,19.1,exponential,2048,0.8047071577351047,0.41663254110330095,56.81373396666068,0.0342038141407165,1.0,14352791.931543907,1.689971578604625,0.9261452882103642,0.06322485167516087,0.010629860114475009,-1.6267842247153233e-16,upper_bound,False,True,False,False,-1.6267842247153233e-16,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.5848931924611109e+19,19.2,exponential,2048,0.8047071577351047,0.41663254110330095,62.971881085312184,0.03888954796789386,1.0,14352791.931543907,1.6899655080144174,0.9271090323605565,0.063290643275814,0.00960032436362953,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.9952623149688828e+19,19.3,exponential,2048,0.8047071577351047,0.41663254110330095,69.79752131323917,0.044212745489277526,1.0,14352791.931543907,1.6899596517520183,0.9279802527577313,0.06335011858826115,0.008669628654007383,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
2.511886431509572e+19,19.4,exponential,2048,0.8047071577351047,0.41663254110330095,77.3630054797326,0.0502600030734936,1.0,14352791.931543907,1.6899540019261057,0.9287676809932829,0.06340387368914145,0.007828445317575783,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.162277660168379e+19,19.5,exponential,2048,0.8047071577351047,0.41663254110330095,85.74852665608768,0.05712967889433334,1.0,14352791.931543907,1.6899485509764978,0.9294792526087601,0.06345245031142469,0.007068297079815356,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
3.981071705534986e+19,19.6,exponential,2048,0.8047071577351047,0.41663254110330095,95.08966849179149,0.06490180505027185,1.0,14352791.931543907,1.6899432916549901,0.9301250894077864,0.06349653943690489,0.006378371155308808,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
5.011872336272715e+19,19.7,exponential,2048,0.8047071577351047,0.41663254110330095,105.42250544434116,0.07374428463381466,1.0,14352791.931543907,1.6899382170077155,0.9307069366510304,0.06353626020871037,0.005756803140259099,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
6.309573444801943e+19,19.8,exponential,2048,0.8047071577351047,0.41663254110330095,116.90686108791344,0.08376592181043982,1.0,14352791.931543907,1.6899333203615885,0.9312335679105328,0.06357221156935904,0.005194220520108315,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
7.94328234724279e+19,19.9,exponential,2048,0.8047071577351047,0.41663254110330095,129.64228190008657,0.09514420963721477,1.0,14352791.931543907,1.689928595307368,0.9317089767982574,0.06360466614942772,0.004686357052314949,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1e+20,20.0,exponential,2048,0.8047071577351047,0.41663254110330095,143.7650545045647,0.1080626655621894,1.0,14352791.931543907,1.6899240356878038,0.9321381002674024,0.06363396097825468,0.004227938754342984,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941713e+20,20.1,exponential,2048,0.8047071577351047,0.41663254110330095,159.42631210880106,0.1227296295021093,1.0,14352791.931543907,1.6899196355849544,0.9325254078452014,0.06366040117556576,0.0038141909792328158,0.0,upper_bound,False,True,False,False,0.0,False,False,quality_linear,1.0,lp_vertex_box,fixed_ref
1.5848931924611108e+20,20.2,exponential,2048,0.8047071577351047,0.41663254110330095,176.79365183843092,0.13938162119970646,1.0,14352791.931543907,1.6899153893086152,0.9328749443156541,0.06368426286528199,0.003440792819063955,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.995262314968883e+20,20.3,exponential,2048,0.8047071577351047,0.41663254110330095,196.05292825840243,0.15828715168079496,1.0,14352791.931543907,1.6899112913855583,0.9331903688017801,0.06370579584353486,0.0031038353546848627,1.642290327149843e-16,upper_bound,False,True,False,False,1.642290327149843e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
2.5118864315095718e+20,20.4,exponential,2048,0.8047071577351047,0.41663254110330095,217.51706436599144,0.17966302196504513,1.0,14352791.931543907,1.6899073365486759,0.933476273992374,0.0637253136378794,0.002798412369746812,-2.6090351529394083e-16,upper_bound,False,True,False,False,-2.6090351529394083e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
3.1622776601683794e+20,20.5,exponential,2048,0.8047071577351047,0.41663254110330095,241.2718568906111,0.20396941070417213,1.0,14352791.931543907,1.6899035197296879,0.933733538126926,0.06374287620279817,0.002523585670275773,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
3.9810717055349857e+20,20.6,exponential,2048,0.8047071577351047,0.41663254110330095,267.5551613865343,0.23161466371353612,1.0,14352791.931543907,1.6898998360485937,0.9339650724181376,0.0637586822770782,0.002276245304784139,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
5.0118723362727146e+20,20.7,exponential,2048,0.8047071577351047,0.41663254110330095,296.8474573563236,0.26287156551608115,1.0,14352791.931543907,1.6898962808056077,0.9341749023011692,0.06377300666375982,0.002052091035071068,-1.307615110738007e-16,upper_bound,False,True,False,False,-1.307615110738007e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
6.309573444801943e+20,20.8,exponential,2048,0.8047071577351047,0.41663254110330095,329.34671296290264,0.29834005359833277,1.0,14352791.931543907,1.6898928494749987,0.9343641074063578,0.06378592306560736,0.001849969528034897,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
7.943282347242789e+20,20.9,exponential,2048,0.8047071577351047,0.41663254110330095,365.2245814101125,0.3387535296836694,1.0,14352791.931543907,1.6898895376957863,0.9345339420512584,0.06379751711069924,0.0016685408380424465,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1e+21,21.0,exponential,2048,0.8047071577351047,0.41663254110330095,405.20985576873994,0.38444599483083514,1.0,14352791.931543907,1.6898863412659912,0.9346878366976348,0.0638080229852252,0.0015041403171401641,-1.31072e-16,upper_bound,False,True,False,False,-1.31072e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941712e+21,21.1,exponential,2048,0.8047071577351047,0.41663254110330095,449.57277130190647,0.4362945679960227,1.0,14352791.931543907,1.6898832561365214,0.934826588773358,0.06381749512692791,0.001355916099714216,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.584893192461111e+21,21.2,exponential,2048,0.8047071577351047,0.41663254110330095,498.7925980048874,0.4951284915429876,1.0,14352791.931543907,1.6898802784041547,0.9349516843824576,0.06382603498717578,0.0012222806303666867,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.995262314968883e+21,21.3,exponential,2048,0.8047071577351047,0.41663254110330095,553.2651733541259,0.5620265751410993,1.0,14352791.931543907,1.6898774043060638,0.93506421143402,0.06383371683389577,0.00110207173208427,-1.3138322617198746e-16,upper_bound,False,True,False,False,-1.3138322617198746e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
2.5118864315095717e+21,21.4,exponential,2048,0.8047071577351047,0.41663254110330095,613.837382552709,0.6377993666104464,1.0,14352791.931543907,1.6898746302145045,0.9351659108855064,0.06384065951645056,0.000993429598043056,2.0872281223515268e-16,upper_bound,False,True,False,False,2.0872281223515268e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
3.1622776601683794e+21,21.5,exponential,2048,0.8047071577351047,0.41663254110330095,681.0411180137424,0.7237801353334774,1.0,14352791.931543907,1.6898719526314363,0.935257593801683,0.06384691840352824,0.0008954877947884674,1.6579442298943593e-16,upper_bound,False,True,False,False,1.6579442298943593e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
3.9810717055349854e+21,21.6,exponential,2048,0.8047071577351047,0.41663254110330095,755.6024080784578,0.8213439027305808,1.0,14352791.931543907,1.689869368183493,0.9353402450414591,0.06385256072816362,0.0008071942303773501,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
5.011872336272714e+21,21.7,exponential,2048,0.8047071577351047,0.41663254110330095,838.326767639378,0.932050902702374,1.0,14352791.931543907,1.6898668736172837,0.9354147529451301,0.06385764713438756,0.0007275999204822445,2.0921841771808115e-16,upper_bound,False,True,False,False,2.0921841771808115e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
6.309573444801943e+21,21.8,exponential,2048,0.8047071577351047,0.41663254110330095,930.1079004339492,1.0576715292536725,1.0,14352791.931543907,1.6898644657948578,0.9354819187341537,0.06386223231891822,0.0006558489469280899,1.6618809641781018e-16,upper_bound,False,True,False,False,1.6618809641781018e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
7.943282347242789e+21,21.9,exponential,2048,0.8047071577351047,0.41663254110330095,1031.9373540769268,1.2002146444943433,1.0,14352791.931543907,1.68986214168938,0.9355424650066378,0.06386636561111982,0.0005911693822424399,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1e+22,22.0,exponential,2048,0.8047071577351047,0.41663254110330095,1144.9152321386127,1.3619596996507464,1.0,14352791.931543907,1.6898598983809925,0.9355970434134417,0.0638700914970243,0.0005328650895338932,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.2589254117941714e+22,22.1,exponential,2048,0.8047071577351047,0.41663254110330095,1269.9501294097834,1.5458726340759055,1.0,14352791.931543907,1.6898577330529678,0.9356461312022718,0.06387344255674177,0.00048042624098639956,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.584893192461111e+22,22.2,exponential,2048,0.8047071577351047,0.41663254110330095,1408.9859636084739,1.7541805786010949,1.0,14352791.931543907,1.689855642987509,0.9356904899233507,0.06387647077876743,0.00043303929788160705,2.646426913782657e-16,upper_bound,False,True,False,False,2.646426913782657e-16,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
1.995262314968883e+22,22.3,exponential,2048,0.8047071577351047,0.41663254110330095,1563.2436264000007,1.9905489268676253,1.0,14352791.931543907,1.68985362556271,0.9357304750212871,0.06387920042811987,0.00039032455059277997,0.0,upper_bound,False,True,False,False,0.0,False,True,quality_linear,1.0,lp_vertex_box,fixed_ref
