N_B,Q,cost_form,ell,kappa,dL_dN_analytic,dL_dN_fd,dL_dN_rel_err,dL_dQ_analytic,dL_dQ_fd,dL_dQ_rel_err,pass
1.0,0.41663254110330095,power,4096,0.8047071577351047,-6.539497362408936e-11,-6.539497365842805e-11,5.250968869184819e-10,-0.09447824133387904,-0.09447816191179459,8.406388955749468e-07,True
10.0,0.6,exponential,32768,0.8047071577351047,-2.5100720086917966e-12,-2.510072005801334e-12,1.151545725864781e-09,-0.03967019669301281,-0.03967019675970576,1.6811852557729377e-09,True
100.0,0.9,logarithmic,2048,0.8047071577351047,1.1853815133499369e-11,1.1853815125029143e-11,7.145569573655006e-10,-1.080809252463903,-1.0808092529288427,4.301773335876036e-10,True
10.0,0.6,power,4096,0.0,3.048249495761702e-12,3.0482494750572186e-12,6.792253532387696e-09,0.005416075090948308,0.0054160749962425545,1.748604885746092e-08,True
