id,S_A_equal,S_Aprep_Cweight,S_Cprep_equal,S_C_entropy,S_C_resolved,S_C_entropy_recomputed
BkiUdvE4eIfiUWiFdbiw,0.6084646699273738,0.746199422321686,0.5871916137271468,0.40935138930993387,0.4063191569430723,0.4093513893099337
BkiUdb44dbjiU9oEeWKt,0.6209036305872554,0.7698972965846758,0.5813234177702229,0.4360067600972481,0.3926023647420591,0.436006760097248
BkiUd0E5qhDBdMC-Fcd6,0.7834246266531486,0.9050236889666083,0.7118001192519827,0.555807647800609,0.5359491669947303,0.5558076478006089
BkiUdPA4dbgg3Wyis_JT,0.5840983585721153,0.44976990310425863,0.629015370032605,0.5208446904138324,0.4743955482262305,0.5208446904138322
BkiUdILxK7FjYAb_67PT,0.7349435406339953,0.7889426062140825,0.6699132747328573,0.501335426783323,0.46898965676691456,0.5013354267833229
BkiUfYzxK6-gD5TlfjZo,0.6062211992009537,0.7455444917104709,0.6002127617890668,0.4617729728149548,0.434465901382684,0.4617729728149546
BkiUdZY5qrqCyq8KqH5a,0.6908918304609452,0.8126803377924702,0.6377863200883772,0.46888801938414537,0.43303199256829006,0.4688880193841453
BkiUcQrxK02iP15vfcUN,0.6093397489704911,0.5372369500200886,0.6065119901806582,0.4616395322684511,0.4159670421919404,0.461639532268451
BkiUd-7xK7IAD7XMJnpB,0.6714822551526342,0.7684560427533673,0.6325750084864955,0.4834046547522229,0.4479010567530953,0.48340465475222283
BkiUdC84eIZjfagW4Wnr,0.623070563266933,0.6884834243075242,0.6053025585634242,0.46343792875295253,0.4232926436426301,0.4634379287529525
BkiUbCM5jDKDx8o5qk9R,0.8149653320230331,0.9047024498201504,0.7118036037048933,0.5477344675984933,0.5335568207140883,0.5477344675984932
BkiUdafxaL3SuhsxKGrm,0.6758266339311978,0.8003973185923331,0.6496562292413963,0.4814943374634061,0.44472085805705186,0.481494337463406
BkiUbg05ixsDMJPI2xCB,0.6868983993085706,0.6990690853902942,0.679559422622231,0.5236241059448065,0.5045002479203108,0.5236241059448064
BkiUdEU5qsBC4wbX-bkK,0.6197745091647416,0.7680776056083123,0.5887973074058905,0.4314539742558165,0.3860135227284341,0.4314539742558164
BkiUbhg25V5hd-428xX-,0.638962544770492,0.7644684173789674,0.5907551154768322,0.44353785078194086,0.4019733585022549,0.44353785078194075
BkiUdGM4dbgg4JMhnNMO,0.613361467700046,0.7030832913556383,0.5610895835235463,0.43084732647491,0.3797244308321997,0.43084732647491
BkiUbfvxK6Ot9TMSpOC0,0.6557604001919458,0.7691100419516398,0.61459300434129,0.457345111283456,0.4171737058082714,0.4573451112834558
BkiUbQY5qX_AY1OJK5_l,0.6732938056719463,0.831176647031735,0.6257809564452608,0.47375055638229413,0.4417573834329146,0.473750556382294
BkiUd044eIXh4qTE56WZ,0.6664154276685345,0.6349764976126362,0.6677876009366299,0.5171730309356108,0.4867168769021739,0.5171730309356107
BkiUe5rxK03BfHDu5U-k,0.6706984688077741,0.7688693829438583,0.6524005292509055,0.4912813509547235,0.4559429234002987,0.49128135095472325
BkiUdMg4eIXhx5LdSlN-,0.5812487479880978,0.48944708220069966,0.5949307760038427,0.533020633703019,0.4748334226561567,0.5330206337030189
BkiUdmU5qhLAB-QFvl37,0.6497647324390613,0.7984420357984996,0.6236672205338367,0.4666916048770069,0.42896837505052876,0.4666916048770068
BkiUc5XxK3YB9raXz91v,0.8252302109041643,0.9165188355606199,0.7574636017250821,0.6084654203701314,0.5722657150875654,0.6084654203701313
BkiUbtg4uzlgqIdPjLwn,0.5713305501599846,0.4964806182566313,0.5909897104385679,0.4564204502221756,0.40798367872945085,0.4564204502221756
BkiUb4bxaL3SuhzLnCaY,0.6307397685090346,0.6670545883102021,0.626583454852458,0.4881760443595814,0.4524608288720202,0.4881760443595813
BkiUc_w25V5ih3AxzUJY,0.6175255262397839,0.7758041937132281,0.5652965827544174,0.4443722390764346,0.3753523613795147,0.44437223907643447
BkiUdKg4uBhhxJVAbSlB,0.7002305359538332,0.8391555287436125,0.6587803891993187,0.488057666081473,0.4585831475164093,0.48805766608147294
BkiUfS45qhLBlnv5FwQt,0.661957172467364,0.7758646997912231,0.602174964786232,0.43431586677540657,0.3979938511848749,0.4343158667754065
BkiUdjg5qoTA-AMJsvsi,0.6061042609472005,0.7441377486002212,0.5443345007877815,0.3924759315246316,0.3398574825400834,0.39247593152463156
BkiUeAY5qsMAI5yh7a-M,0.6625769138296076,0.7888383894168449,0.6145944785276632,0.4436249760925485,0.4021989926434786,0.44362497609254836
BkiUdHjxaJJQnMJkXr4l,0.6435737075886411,0.7833639066400777,0.5989418755672334,0.4511430556395846,0.41267391715006974,0.45114305563958457
BkiUcNbxK6Ot9Pm3uYdF,0.6427450505699451,0.7729299291251249,0.5992314478776322,0.4298677936891169,0.38127153630118654,0.4298677936891167
BkiUdozxK6Ot9UjEBvcU,0.6502404253530876,0.7956751017702839,0.6184571475632569,0.45856925888165595,0.4230093483502497,0.4585692588816558
BkiUfd425V5jLX3kjIIW,0.6389030881298449,0.7717306504193959,0.6103451012494249,0.46243330324402004,0.424844629264847,0.46243330324402
BkiUc__xK7ICUyBu0Ytk,0.62729644435567,0.7053705254413869,0.602987646661775,0.4471016117509174,0.40262432649389157,0.44710161175091734
BkiUdODxK3YB9ohkMhwr,0.6575565633893261,0.7955103470348399,0.6184242097915554,0.4728366021960056,0.43862035424337087,0.4728366021960054
BkiUbdvxK7Ehm308o-UQ,0.6225360306530319,0.7535989474070094,0.5779546461499946,0.44584262468499414,0.3976164566037808,0.44584262468499386
BkiUc3U5qoYAq3Pz8uon,0.6674457733074352,0.7936243333543076,0.6119265443084019,0.4528594193099122,0.41430079375324685,0.452859419309912
BkiUbGE5qdmB6uAdshyW,0.6595896327904787,0.7951383068891372,0.6110249745190577,0.46027378913866224,0.4252585290903754,0.46027378913866207
BkiUfo8241xiP6pGxj80,0.6161503542847334,0.6233654561125505,0.6238387788902383,0.47989704079020645,0.4406660287471931,0.47989704079020634
BkiUfK3xK4tBVhat52yo,0.6730718628732293,0.7958636055881244,0.6264007087899266,0.45323898972568305,0.41394791943344544,0.45323898972568294
BkiUdf_xK7FjYEXSFEcl,0.6775095086993209,0.7688673145918955,0.6267554778359864,0.45708754181551725,0.4151314228292384,0.45708754181551703
BkiUelHxK7IDF1DduRfs,0.6645440544680488,0.7705821122093194,0.6637321417962281,0.5058448096915984,0.47822026232094245,0.5058448096915983
BkiUaYzxK7ICUn2IXhit,0.591104643479984,0.5075073101703118,0.6294344851558842,0.5764048150792808,0.5232145439962538,0.5764048150792808
BkiUdJQ4ubng-JcX4VCP,0.6840147941653507,0.7718218545376445,0.6518589900924521,0.48326199716967544,0.4467008612743135,0.48326199716967533
BkiUbbnxK0-nUh8iIHaL,0.6513896968361802,0.7807670062010925,0.6082174310637944,0.4437593568313423,0.4022032013224438,0.4437593568313422
BkiUctrxK7FjYHGHzffr,0.5905670056358538,0.7213227583525181,0.5834337074717567,0.44044167403301016,0.3987819402213766,0.44044167403301
BkiUawDxK6EuNAra_58K,0.6509161020956316,0.7669119540855738,0.6375280465624874,0.4868187665778674,0.4553937389963052,0.48681876657786727
BkiUairxK0wg09lJ_0zB,0.6812950118176354,0.806852394169331,0.6266060379750001,0.45762915451425934,0.41730200097275133,0.45762915451425923
BkiUdpY4eIOjSBZeeNPE,0.655316079881816,0.7905524788417073,0.6069515817359845,0.4586205717977477,0.419962444296781,0.4586205717977476
BkiUd-k241xg-MOC_zQI,0.6867305098161544,0.8102036464018207,0.6430503071445014,0.47336043132386346,0.4386491403725847,0.47336043132386335
BkiUeGvxK6nrxjHzCYv8,0.6291707989515397,0.7377371457194307,0.6090027745806768,0.46803967065796104,0.4313797996285982,0.4680396706579608
BkiUd0Q4eIZjxkFh19au,0.6691916161922697,0.751052853642926,0.635770989635369,0.4737811819027152,0.43936961972802246,0.473781181902715
BkiUfEs5qhDCNj5tich1,0.6636626528011346,0.7070865600990048,0.6438510317392083,0.5106578606250405,0.47954118983899624,0.5106578606250404
BkiUeZbxaKgTq1C9OpJ4,0.6507172354326554,0.6816217796196976,0.6360777332776941,0.47892011793657724,0.44224452761203464,0.47892011793657707
BkiUdgg5qoYDgbkp4TEY,0.6566566546815247,0.7737008322897032,0.603527494737673,0.42905718833902023,0.38121644412574074,0.42905718833902007
BkiUbVHxK7FjYCv2QCBP,0.6003402328437063,0.5817111528446606,0.6263424380578977,0.49740044903290204,0.4653512547272794,0.4974004490329019
BkiUfXDxK1ThhAqzYsFE,0.624455291621551,0.5268774324206176,0.6493139319169499,0.5046625333780933,0.4659971085703201,0.5046625333780932
BkiUbq825V5hd-4287Pf,0.6687044280792713,0.7627123450673166,0.6314687395404069,0.45784975881597323,0.4161711368771871,0.457849758815973
BkiUdBw25YjgKNDlVLJa,0.7698424372353792,0.8082617157183101,0.7247782950481888,0.5759964877632429,0.5582517228318554,0.5759964877632427
BkiUbSLxK7Ehm4qsy0t6,0.7543061118270675,0.8087016480808676,0.6755977598028313,0.5128070622936781,0.4848488789320169,0.5128070622936779
BkiUdgc5qhLBWY0XuZmA,0.6261363885755217,0.5284709462595474,0.6420619569744114,0.506720337349914,0.4644633129326399,0.5067203373499138
BkiUd3c4eIZijir1ousz,0.6735686034504031,0.8231069346872395,0.6421221995449092,0.48153276457610994,0.44961787637945677,0.48153276457610983
BkiUd3A4dbjiVENjpLkA,0.6769901437760608,0.8125441266599895,0.6254127893544432,0.47220186733841246,0.44133416437766115,0.4722018673384123
