model,n,b_logN,b_t,rmse,S0,forecast_12m_continued,forecast_12m_slowdown,forecast_24m_continued,forecast_24m_slowdown
original_chat_only,4561,14.334115109953585,12.845529545171287,7.899373013055388,37.69501386218636,54.605267081996544,52.572905244677095,71.51552030180673,67.45079662716783
chat_or_finetuned_binary_sensitivity,4561,14.352180845717951,11.764882938137589,7.912996160589368,37.69501386218636,53.52974337395577,51.49482008713986,69.36447288572518,65.29462631209336
all_type_categories_sensitivity,4561,13.345683212801248,10.719809977671156,7.736119641537526,37.69501386218636,52.19925797431172,50.30704090708462,66.70350208643708,62.91906795198288
